TC,LOC,SC,E
org.apache.bcel.verifier.VerifierTestCase#testCollection,3,1,187.698288
org.apache.bcel.verifier.VerifierArrayAccessTestCase#testValidArrayAccess,5,0,188.230881
org.apache.bcel.generic.LMULTestCase#accept,12,2,183.900742
org.apache.bcel.util.ClassPathRepositoryTestCase#testClassWithoutPackage,6,4,183.056381
org.apache.bcel.verifier.VerifierInvokeTestCase#testLegalInvokeStatic,3,0,185.663559
org.apache.bcel.CounterVisitorTestCase#testConstantIntegerCount,3,0,182.992706
org.apache.bcel.CounterVisitorTestCase#testConstantMethodrefCount,3,0,185.798294
org.apache.bcel.verifier.VerifyBadClassesTestCase#testB308,3,0,188.572647
org.apache.bcel.generic.LCMPTestCase#accept,11,2,183.972763
org.apache.bcel.classfile.UtilityTestCase#testConvertString,8,0,183.258926
org.apache.bcel.generic.BasicTypeTest#testGetType,3,2,176.66243
org.apache.bcel.generic.FieldAnnotationsTestCase#testFieldAnnotationEntrys,5,0,184.838654
org.apache.bcel.generic.DREMTestCase#accept,12,2,179.870361
org.apache.bcel.ElementValueGenTestCase#testCreateIntegerElementValue,7,0,183.470764
org.apache.bcel.CounterVisitorTestCase#testConstantClassCount,3,0,199.476639
org.apache.bcel.CounterVisitorTestCase#testInnerClassesCount,3,0,189.676895
org.apache.bcel.generic.FREMTestCase#accept,12,2,188.273712
org.apache.bcel.generic.FADDTestCase#accept,12,2,177.497086
org.apache.bcel.AnonymousClassTestCase#testRegularClassIsNotAnonymous,5,0,188.793503
org.apache.bcel.generic.D2LTestCase#accept,12,2,182.5298
org.apache.bcel.generic.MethodGenTestCase#testInvalidNullMethodBody_EmptyStaticInit,3,0,186.276901
org.apache.bcel.classfile.ConstantPoolModuleToStringTestCase#testClass,3,0,193.904266
org.apache.bcel.verifier.VerifyJavaHomesTestCase#testJarEntryClassName,18,0,182.935242
org.apache.bcel.CounterVisitorTestCase#testUnknownCount,3,0,189.110794
org.apache.bcel.generic.LXORTestCase#accept,12,2,177.378555
org.apache.bcel.PerformanceTest#testPerformance,15,0,190.278473
org.apache.bcel.verifier.VerifierArrayAccessTestCase#testInvalidArrayAccess,16,0,187.317932
org.apache.bcel.generic.IORTestCase#accept,12,2,184.439667
org.apache.bcel.util.Class2HTMLTestCase#testConvertJavaUtil,10,5,184.368515
org.apache.bcel.generic.TypeTestCase#testBCEL243,5,2,182.677933
org.apache.bcel.verifier.VerifyJavaUtilTestCase#testLinkedHashMap,3,0,182.801422
org.apache.bcel.generic.LSUBTestCase#accept,12,2,185.279938
org.apache.bcel.OssFuzzTestCase#testIssue53543,3,0,185.362305
org.apache.bcel.classfile.LocalVariableTestCase#testReferenceToConstant,3,1,176.130981
org.apache.bcel.generic.InstructionHandleTestCase#testsetInstructionnotI,5,4,176.279526
org.apache.bcel.generic.FieldAnnotationsTestCase#testFieldAnnotationModification,37,0,189.45285
org.apache.bcel.CounterVisitorTestCase#testLineNumberTableCount,3,0,184.79718
org.apache.bcel.generic.GeneratingAnnotatedClassesTestCase#testTransformComplexClassToClassGen,15,0,181.887619
org.apache.bcel.generic.JdkGenericDumpTestCase#testJdkJars,3,0,189.653946
org.apache.bcel.generic.FDIVTestCase#accept,12,2,186.808609
org.apache.bcel.OssFuzzTestCase#testIssue51989,3,0,183.307205
org.apache.bcel.verifier.VerifyBadClassesTestCase#testB311,3,0,192.24411
org.apache.bcel.EnclosingMethodAttributeTestCase#testCheckMethodLevelNamedInnerClass,11,0,186.708939
org.apache.bcel.generic.FMULTestCase#accept,12,2,183.986084
org.apache.bcel.generic.I2STestCase#accept,12,2,182.952301
org.apache.bcel.CounterVisitorTestCase#testFieldCount,3,0,189.27269
org.apache.bcel.CounterVisitorTestCase#testSyntheticCount,3,0,184.951096
org.apache.bcel.generic.INEGTestCase#accept,12,2,176.556717
org.apache.bcel.generic.BasicTypeTest#testClassName,11,11,180.388199
org.apache.bcel.verifier.JiraBcel291TestCase#test,3,0,174.631714
org.apache.bcel.classfile.ConstantPoolTestCase#testConstantToString,22,9,191.144028
org.apache.bcel.InstructionFinderTestCase#testSearchAll,24,0,184.359818
org.apache.bcel.generic.ArrayTypeTest#testGetDimensions,5,3,177.944885
org.apache.bcel.classfile.ConstantPoolTestCase#testClassWithLongConstantPoolItem,19,11,190.084946
org.apache.bcel.generic.PUTSTATICTestCase#accept,16,2,176.746429
org.apache.bcel.ElementValueGenTestCase#testCreateDoubleElementValue,8,0,179.668701
org.apache.bcel.generic.LREMTestCase#accept,13,2,183.695801
org.apache.bcel.CounterVisitorTestCase#testStackMapCount,3,0,180.582306
org.apache.bcel.CounterVisitorTestCase#testDeprecatedCount,3,0,188.99086
org.apache.bcel.CounterVisitorTestCase#testLocalVariableCount,3,0,183.51738
org.apache.bcel.generic.F2LTestCase#accept,12,2,182.399918
org.apache.bcel.PLSETestCase#testBCEL208,10,0,188.148849
org.apache.bcel.generic.ArrayTypeTest#testGetBasicType,5,3,176.263474
org.apache.bcel.CounterVisitorTestCase#testInnerClassCount,3,0,187.130737
org.apache.bcel.classfile.UtilityTestCase#testPrintArray,10,0,177.752762
org.apache.bcel.generic.ArrayTypeTest#testGetSignatureDim1,5,5,179.469818
org.apache.bcel.PLSETestCase#testBCEL79,10,0,180.491699
org.apache.bcel.util.ModularRuntimeImageTestCase#testListJreModules,5,5,187.728622
org.apache.bcel.ElementValueGenTestCase#testCreateByteElementValue,8,0,185.50174
org.apache.bcel.util.LruCacheClassPathRepositoryTestCase#testLeastRecentlyUsedEviction,15,10,185.420761
org.apache.bcel.CounterVisitorTestCase#testAnnotationDefaultCount,3,0,188.783295
org.apache.bcel.util.BCELifierTestCase#testHelloWorld,12,6,190.927414
org.apache.bcel.generic.L2ITestCase#accept,12,2,178.396759
org.apache.bcel.ElementValueGenTestCase#testCreateClassElementValue,8,0,177.895691
org.apache.bcel.generic.FSUBTestCase#accept,12,2,187.952774
org.apache.bcel.classfile.UtilityTestCase#testIsSet,10,0,184.433167
org.apache.bcel.generic.BREAKPOINTTestCase#accept,8,2,175.673065
org.apache.bcel.generic.LANDTestCase#accept,12,2,187.994644
org.apache.bcel.generic.AnnotationGenTestCase#testVisibleInvisibleAnnotationGen,34,0,194.686829
org.apache.bcel.verifier.VerifierTestCase#testArrayUtils,3,1,189.335648
org.apache.bcel.generic.LSHLTestCase#accept,12,2,187.519806
org.apache.bcel.generic.IXORTestCase#accept,12,2,181.37175
org.apache.bcel.classfile.UtilityTestCase#testSetBit,9,0,178.598007
org.apache.bcel.ElementValueGenTestCase#testCreateCharElementValue,8,0,183.031052
org.apache.bcel.ElementValueGenTestCase#testCreateShortElementValue,8,0,179.372894
org.apache.bcel.generic.AnnotationGenTestCase#testConstructMutableAnnotation,12,0,185.728683
org.apache.bcel.CounterVisitorTestCase#testJavaClassCount,3,0,188.072891
org.apache.bcel.OssFuzzTestCase#testIssue51980,3,0,178.285355
org.apache.bcel.CounterVisitorTestCase#testSourceFileCount,3,0,187.451935
org.apache.bcel.generic.DNEGTestCase#accept,12,2,183.232117
org.apache.bcel.generic.GeneratingAnnotatedClassesTestCase#testGenerateClassLevelAnnotations,23,0,190.760452
org.apache.bcel.LocalVariableTypeTableTestCase#testWithGenericArguement,13,0,181.291351
org.apache.bcel.generic.ObjectTypeTest#testGetClassName,5,2,175.876511
org.apache.bcel.generic.MethodGenTestCase#testRemoveLocalVariable,16,0,191.497421
org.apache.bcel.PLSETestCase#testBCEL262,12,0,186.459732
org.apache.bcel.EnumAccessFlagTestCase#testEnumClassSaysItIs,6,0,181.253311
org.apache.bcel.generic.ISHRTestCase#accept,12,2,178.163147
org.apache.bcel.AnonymousClassTestCase#testNamedInnerClassIsNotAnonymous,5,0,186.156662
org.apache.bcel.generic.JiraBcel362TestCase#testProcessConstantPoolWithCondyEntry,5,0,182.94989
org.apache.bcel.generic.ArrayTypeTest#testGetSignatureDim4,5,5,178.772232
org.apache.bcel.CounterVisitorTestCase#testEnclosingMethodCount,3,0,186.893936
org.apache.bcel.util.ClassPathTestCase#testGetClassFile,3,1,178.991714
org.apache.bcel.classfile.ConstantPoolModuleToStringTestCase#test,9,0,188.10022
org.apache.bcel.generic.LORTestCase#accept,12,2,185.931061
org.apache.bcel.ElementValueGenTestCase#testCreateLongElementValue,8,0,178.133087
org.apache.bcel.util.ClassPathTestCase#testGetResourceAsStream,5,2,179.230728
org.apache.bcel.generic.InstructionHandleTestCase#testsetInstructionI,6,6,178.382767
org.apache.bcel.generic.BranchHandleTestCase#testGetBHnull,3,1,178.614563
org.apache.bcel.CounterVisitorTestCase#testCodeExceptionCount,3,0,180.822845
org.apache.bcel.generic.JdkGenericDumpTestCase#testJdkModules,3,0,285.799973
org.apache.bcel.CounterVisitorTestCase#testAnnotationEntryCount,3,0,182.272186
org.apache.bcel.CounterVisitorTestCase#testConstantInterfaceMethodrefCount,3,0,181.744049
org.apache.bcel.generic.F2DTestCase#accept,12,2,183.707733
org.apache.bcel.ElementValueGenTestCase#testCreateFloatElementValue,7,0,176.60112
org.apache.bcel.generic.GeneratingAnnotatedClassesTestCase#testTransformClassToClassGen_EnumType,6,0,187.920105
org.apache.bcel.verifier.VerifierTestCase#testCommonsLang1,3,1,247.500305
org.apache.bcel.generic.L2FTestCase#accept,12,2,186.168716
org.apache.bcel.OssFuzzTestCase#testIssue53544a,3,0,187.501984
org.apache.bcel.util.ModularRuntimeImageTestCase#testListJreModule,5,5,179.765244
org.apache.bcel.generic.DMULTestCase#accept,12,2,195.526855
org.apache.bcel.generic.I2DTestCase#accept,12,2,176.238113
org.apache.bcel.generic.D2ITestCase#accept,12,2,182.673218
org.apache.bcel.generic.DADDTestCase#accept,12,2,184.624374
org.apache.bcel.util.ClassPathRepositoryTestCase#testNullInput,6,4,182.827011
org.apache.bcel.generic.FieldAnnotationsTestCase#testFieldAnnotationEntrysReadWrite,12,0,184.713913
org.apache.bcel.verifier.VerifierTestCase#testDefinitionImpl,3,1,191.75856
org.apache.bcel.AnnotationDefaultAttributeTestCase#testMethodAnnotations,8,0,185.352188
org.apache.bcel.generic.LADDTestCase#accept,12,2,183.048645
org.apache.bcel.generic.DSUBTestCase#accept,12,2,177.685974
org.apache.bcel.util.ClassPathTestCase#testGetResource,3,1,187.042892
org.apache.bcel.CounterVisitorTestCase#testLocalVariableTypeTableCount,3,0,182.341202
org.apache.bcel.OssFuzzTestCase#testIssue52168,3,0,178.390625
org.apache.bcel.verifier.VerifyBadClassesTestCase#testB307,3,0,186.182953
org.apache.bcel.util.ClassPathRepositoryTestCase#testMemorySensitiveClassPathRepository,5,2,186.282166
org.apache.bcel.generic.ArrayTypeTest#testGetType,4,4,178.197556
org.apache.bcel.util.BCELifierTestCase#testStart,7,2,184.44902
org.apache.bcel.CounterVisitorTestCase#testLocalVariableTableCount,3,0,183.680023
org.apache.bcel.generic.BranchHandleTestCase#testsetInstructionNull,5,4,177.470459
org.apache.bcel.util.ClassPathRepositoryTestCase#testEmptyInput,6,4,185.433258
org.apache.bcel.verifier.VerifyJavaUtilTestCase#testHashMap,3,0,181.260727
org.apache.bcel.CounterVisitorTestCase#testAnnotationsCount,3,0,186.806534
org.apache.bcel.verifier.VerifyBadClassesTestCase#testB313,3,0,190.942581
org.apache.bcel.generic.GeneratingAnnotatedClassesTestCase#testModifyingClasses1,9,0,184.530548
org.apache.bcel.generic.MethodGenTestCase#testRemoveLocalVariables,16,0,184.424545
org.apache.bcel.generic.BranchHandleTestCase#testsetInstructionBI,6,6,184.853409
org.apache.bcel.generic.IMPDEP2TestCase#accept,8,2,178.584412
org.apache.bcel.AnonymousClassTestCase#testAnonymousInnerClassIsAnonymous,5,0,178.465485
org.apache.bcel.verifier.structurals.UninitializedObjectTypeTestCase#testReferenceToConstant,3,1,181.88739
org.apache.bcel.generic.GeneratingAnnotatedClassesTestCase#testTransformClassToClassGen_ArrayAndAnnotationTypes,35,0,181.253128
org.apache.bcel.generic.GeneratingAnnotatedClassesTestCase#testGenerateMethodLevelAnnotations2,29,0,194.673492
org.apache.bcel.generic.InstructionHandleTestCase#testGetIHnull,3,1,178.228256
org.apache.bcel.generic.ArrayTypeTest#testGetClassName,5,4,177.044891
org.apache.bcel.verifier.VerifyBadClassesTestCase#testB310,3,0,187.60141
org.apache.bcel.verifier.VerifyBadClassesTestCase#testB303,3,0,186.198257
org.apache.bcel.util.BCELifierTestCase#testMainNoArg,13,3,183.684723
org.apache.bcel.generic.BasicTypeTest#testSignature,11,11,183.684494
org.apache.bcel.generic.LNEGTestCase#accept,12,2,180.090317
org.apache.bcel.generic.D2FTestCase#accept,12,2,183.202728
org.apache.bcel.util.ClassPathRepositoryTestCase#testLruCacheClassPathRepository,5,2,182.429321
org.apache.bcel.classfile.ConstantPoolTestCase#testClassWithDoubleConstantPoolItem,19,11,183.459091
org.apache.bcel.generic.JdkGenericDumpTestCase#testJreModules,8,0,249.471542
org.apache.bcel.CounterVisitorTestCase#testConstantDoubleCount,3,0,187.447388
org.apache.bcel.EnclosingMethodAttributeTestCase#testAttributeSerializtion,16,0,187.560562
org.apache.bcel.generic.EmptyVisitorTestCase#test,23,4,187.536285
org.apache.bcel.CounterVisitorTestCase#testLineNumberCount,3,0,186.390228
org.apache.bcel.generic.ArrayTypeTest#testGetElementType,5,3,175.816071
org.apache.bcel.generic.GeneratingAnnotatedClassesTestCase#testGenerateMethodLevelAnnotations1,20,0,194.784775
org.apache.bcel.generic.LSHRTestCase#accept,12,2,176.232391
org.apache.bcel.verifier.statics.Pass2VerifierTestCase#testReferenceToConstant,3,1,182.079224
org.apache.bcel.verifier.VerifyBadClassesTestCase#testB337,3,0,183.456329
org.apache.bcel.verifier.VerifierReturnTestCase#testInvalidReturn,20,0,188.26741
