TC,LOC,SC,E,P,T,E/SC,P/SC,T/SC,E/(SC/Loc),P/(SC/Loc),T/(SC/Loc),AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.commons.cli.ParserTestCase#testShortWithUnexpectedArgument,13,3,163.376526,11.792231,13.836199,54.458842,3.9307436666666655,4.612066333333334,707.964946,51.09966766666666,59.95686233333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
org.apache.commons.cli.ParserTestCase#testOptionGroupLong,10,2,165.028702,11.797614,13.935675,82.514351,5.898807,6.9678375,825.14351,58.98806999999999,69.67837499999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.cli.PatternOptionBuilderTest#testNumberPattern,10,3,171.101898,11.860797,14.454951,57.033966,3.953599,4.818317,570.3396600000001,39.53599,48.18317,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.cli.UtilTest#testStripLeadingAndTrailingQuotes,7,5,166.29715,11.784151,14.087128,33.259429999999995,2.3568302,2.8174256,232.81601,16.4978114,19.7219792,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.cli.ParserTestCase#testPropertyOptionFlags,43,21,155.867584,11.778101,13.26347,7.422265904761905,0.5608619523809524,0.6315938095238095,319.1574339047619,24.117063952380956,27.15853380952381,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1
org.apache.commons.cli.PosixParserTest#testAmbiguousLongWithoutEqualSingleDash,2,1,164.628754,11.806229,13.944228,164.628754,11.806229,13.944228,329.257508,23.612458,27.888456,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
org.apache.commons.cli.BasicParserTest#testLongWithEqualDoubleDash,2,1,167.321732,11.825292,14.174219,167.321732,11.825292,14.174219,334.643464,23.650584,28.348438,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
org.apache.commons.cli.OptionBuilderTest#testCreateIncompleteOption,9,4,168.643219,11.868543,14.256245,42.16080475,2.96713575,3.56406125,379.44724275,26.70422175,32.07655125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
org.apache.commons.cli.CommandLineTest#testGetOptionProperties,16,5,165.845154,11.849331,13.951285,33.1690308,2.3698662,2.790257,530.7044928,37.9178592,44.644112,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.cli.DefaultParserTest#testLongOptionQuoteHandlingWithStrip,6,5,168.743988,11.85498,14.246257,33.7487976,2.370996,2.8492514,202.4927856,14.225976,17.0955084,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
org.apache.commons.cli.ParserTestCase#testStopBursting2,12,7,162.856064,11.721795,13.852358,23.265152,1.674542142857143,1.978908285714286,279.181824,20.094505714285717,23.746899428571428,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.cli.BasicParserTest#testShortWithEqual,2,1,170.800476,11.866976,14.359362,170.800476,11.866976,14.359362,341.600952,23.733952,28.718724,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
org.apache.commons.cli.BasicParserTest#testUnambiguousPartialLongOption1,2,1,162.53334,11.830271,13.779594,162.53334,11.830271,13.779594,325.06668,23.660542,27.559188,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
org.apache.commons.cli.ParserTestCase#testBursting,9,2,157.481583,11.795472,13.33039,78.7407915,5.897736,6.665195,708.6671235,53.079624,59.986755,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.cli.GnuParserTest#testLongWithUnexpectedArgument1,2,1,167.461212,11.858472,14.137761,167.461212,11.858472,14.137761,334.922424,23.716944,28.275522,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
org.apache.commons.cli.DefaultParserTest#testBuilder,4,5,165.820801,11.779436,14.085887,33.1641602,2.3558872,2.8171774,132.6566408,9.4235488,11.2687096,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
org.apache.commons.cli.ParserTestCase#testMissingRequiredOptions,19,4,166.586533,11.849029,14.049833,41.64663325,2.96225725,3.51245825,791.28603175,56.28288775,66.73670675,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
org.apache.commons.cli.GnuParserTest#testAmbiguousPartialLongOption1,2,1,164.641998,11.871719,13.835183,164.641998,11.871719,13.835183,329.283996,23.743438,27.670366,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
org.apache.commons.cli.ParserTestCase#testUnambiguousPartialLongOption4,9,2,157.349808,11.7701,13.35562,78.674904,5.88505,6.67781,708.0741360000001,52.96545,60.10029,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.cli.ParserTestCase#testLongWithEqualDoubleDash,7,2,161.642532,11.778387,13.65125,80.821266,5.8891935,6.825625,565.748862,41.2243545,47.779375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.cli.OptionsTest#testDuplicateLong,6,3,161.177017,11.850433,13.586393,53.725672333333335,3.9501443333333337,4.528797666666667,322.354034,23.700866,27.172786,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.cli.ParserTestCase#testPropertiesOption2,13,4,157.580322,11.77481,13.466567,39.3950805,2.9437025,3.36664175,512.1360464999999,38.2681325,43.76634274999999,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.cli.ParserTestCase#testMissingArg,12,2,158.515076,11.783894,13.413939,79.257538,5.891947,6.7069695,951.090456,70.70336400000001,80.483634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
org.apache.commons.cli.HelpFormatterTest#testRtrim,6,3,169.850723,11.847975,14.34576,56.61690766666666,3.949325,4.78192,339.701446,23.69595,28.69152,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.cli.PosixParserTest#testNegativeOption,2,1,162.620773,11.809529,13.772796,162.620773,11.809529,13.772796,325.241546,23.619058,27.545592,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
org.apache.commons.cli.OptionsTest#testGetOptionsGroups,13,5,168.123505,11.849034,14.160619,33.624701,2.3698068,2.8321238,437.121113,30.8074884,36.8176094,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.cli.BasicParserTest#testAmbiguousPartialLongOption3,2,1,178.84256,12.284931,14.632576,178.84256,12.284931,14.632576,357.68512,24.569862,29.265152,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
