"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"15:11:28:717","41387346266717","   0.100","  36.724"," 1959","  600"," 3300"," 3509","   9.647","   0.967","   0.269","   6.120","   0.613","   0.170"," 76","0"," 69"," 80","  74.763","  69.000","  19.167","  28.000","    0","  300"
"15:11:28:824","41387559006637","   0.207","  42.293"," 2370","  700"," 3300"," 3792","  16.019","   2.673","   0.743","  12.501","   1.945","   0.540"," 85","0"," 69"," 86","  77.998"," 138.000","  38.333","  28.000","    0","  300"
"15:11:28:928","41387767390463","   0.311","  40.161"," 2693","  800"," 3300"," 3793","  18.290","   4.582","   1.273","  14.640","   3.473","   0.965"," 84","0"," 76"," 87","  81.999"," 214.000","  59.444","  28.000","    0","  300"
"15:11:29:032","41387973713835","   0.414","  44.509"," 2636","  700"," 3300"," 3789","  19.005","   6.546","   1.818","  15.346","   5.059","   1.405"," 92","0"," 77"," 93","  83.336"," 291.000","  80.833","  28.000","    0","  300"
"15:11:29:132","41388173877521","   0.515","  56.001"," 2871","  700"," 3300"," 3800","  24.398","   8.991","   2.498","  20.350","   7.099","   1.972"," 95","0"," 80"," 95","  87.880"," 371.000"," 103.056","  28.000","    0","  300"
"15:11:29:232","41388374202953","   0.615","  43.916"," 3071"," 1400"," 3300"," 3798","  21.697","  11.168","   3.102","  17.542","   8.858","   2.461"," 91","0"," 80"," 97","  88.904"," 451.000"," 125.278","  28.000","    0","  300"
"15:11:29:336","41388580706111","   0.718","  42.402"," 2905","  800"," 3300"," 3796","  21.161","  13.357","   3.710","  17.402","  10.658","   2.961"," 91","0"," 78"," 95","  86.937"," 529.000"," 146.944","  28.000","    0","  300"
"15:11:29:437","41388782634357","   0.820","  51.629"," 2978"," 1100"," 3300"," 3800","  24.436","  15.828","   4.397","  20.466","  12.728","   3.535"," 92","0"," 82"," 96","  89.591"," 611.000"," 169.722","  28.000","    0","  300"
"15:11:29:540","41388989298299","   0.923","  50.000"," 2905"," 1400"," 3300"," 3800","  23.349","  18.244","   5.068","  19.341","  14.729","   4.091"," 88","0"," 83"," 96","  89.507"," 694.000"," 192.778","  28.000","    0","  300"
"15:11:29:644","41389196857811","   1.027","  45.706"," 2857","  700"," 3300"," 3798","  21.015","  20.429","   5.675","  17.011","  16.498","   4.583"," 93","0"," 81"," 97","  87.579"," 775.000"," 215.278","  28.000","    0","  300"
"15:11:29:745","41389398928385","   1.128","  44.915"," 2693"," 1100"," 3300"," 3798","  19.876","  22.440","   6.233","  16.000","  18.117","   5.032"," 86","0"," 80"," 95","  86.528"," 855.000"," 237.500","  28.000","    0","  300"
"15:11:29:846","41389599039719","   1.228","  49.137"," 2872","  700"," 3300"," 3796","  23.172","  24.762","   6.878","  19.256","  20.047","   5.568"," 92","0"," 80"," 97","  88.744"," 935.000"," 259.722","  28.000","    0","  300"
"15:11:29:946","41389799655821","   1.329","  50.285"," 2863"," 1200"," 3300"," 3798","  23.501","  27.123","   7.534","  19.489","  22.005","   6.112"," 88","0"," 80"," 96","  89.702","1015.000"," 281.944","  28.000","    0","  300"
"15:11:30:046","41389999791133","   1.429","  53.096"," 2843","  700"," 3300"," 3800","  24.301","  29.559","   8.211","  20.166","  24.026","   6.674"," 92","0"," 82"," 95","  89.262","1097.000"," 304.722","  28.000","    0","  300"
"15:11:30:146","41390200002911","   1.529","  56.273"," 2882","  900"," 3300"," 3800","  25.613","  32.127","   8.924","  21.187","  26.150","   7.264"," 92","0"," 85"," 95","  90.919","1182.000"," 328.333","  28.000","    0","  300"
"15:11:30:247","41390400444707","   1.630","  55.720"," 2906"," 1300"," 3300"," 3800","  25.990","  34.736","   9.649","  21.909","  28.349","   7.875"," 95","0"," 82"," 97","  91.903","1264.000"," 351.111","  28.000","    0","  300"
"15:11:30:351","41390607878793","   1.734","  59.252"," 2955"," 1200"," 3300"," 3800","  26.623","  37.502","  10.417","  22.279","  30.664","   8.518"," 97","0"," 86"," 99","  93.221","1350.000"," 375.000","  28.000","    0","  300"
"15:11:30:451","41390808139433","   1.834","  54.696"," 2862"," 1400"," 3300"," 3800","  25.711","  40.080","  11.133","  21.593","  32.829","   9.119"," 92","0"," 86"," 98","  91.908","1436.000"," 398.889","  28.000","    0","  300"
"15:11:30:552","41391008907655","   1.934","  53.759"," 2830","  700"," 3300"," 3800","  23.837","  42.477","  11.799","  19.782","  34.818","   9.672"," 94","0"," 82"," 99","  91.541","1518.000"," 421.667","  28.000","    0","  300"
