"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"15:10:47:532","41305105245535","   0.105","   8.366","  916","  700"," 1200","  927","   2.854","   0.301","   0.084","   0.589","   0.062","   0.017"," 69","0"," 63"," 68","  65.701","  63.000","  17.500","  28.000","    0","  300"
"15:10:47:645","41305332206851","   0.219","  18.114"," 2537","  700"," 3300"," 2818","   9.226","   1.350","   0.375","   6.116","   0.757","   0.210"," 76","0"," 63"," 80","  69.722"," 126.000","  35.000","  28.000","    0","  300"
"15:10:47:746","41305532976137","   0.320","  21.687"," 3193"," 2300"," 3300"," 3776","  13.626","   2.720","   0.755","  10.187","   1.781","   0.495"," 78","0"," 68"," 84","  75.592"," 194.000","  53.889","  28.000","    0","  300"
"15:10:47:850","41305741114745","   0.424","  27.074"," 3246","  700"," 3300"," 3800","  16.839","   4.475","   1.243","  13.150","   3.152","   0.876"," 80","0"," 68"," 88","  78.780"," 262.000","  72.778","  28.000","    0","  300"
"15:10:47:952","41305944034429","   0.525","  39.333"," 3143","  700"," 3300"," 3798","  22.139","   6.725","   1.868","  17.865","   4.968","   1.380"," 87","0"," 71"," 88","  81.509"," 333.000","  92.500","  28.000","  500","  500"
"15:10:48:054","41306147921809","   0.628","  48.874"," 3289"," 2200"," 3300"," 3797","  26.690","   9.450","   2.625","  21.467","   7.160","   1.989"," 92","0"," 74"," 93","  86.295"," 407.000"," 113.056","  28.000","  500","  500"
"15:10:48:154","41306348370625","   0.728","  60.769"," 3129","  700"," 3300"," 3800","  27.057","  12.166","   3.379","  21.648","   9.333","   2.592"," 91","0"," 78"," 94","  87.777"," 485.000"," 134.722","  28.000","  500","  500"
"15:10:48:258","41306556143041","   0.832","  47.829"," 3049"," 2200"," 3300"," 3800","  22.470","  14.504","   4.029","  17.056","  11.107","   3.085"," 87","0"," 78"," 92","  84.885"," 563.000"," 156.389","  28.000","    0","  300"
"15:10:48:359","41306756327249","   0.932","  67.225"," 3142"," 2100"," 3300"," 3800","  28.063","  17.318","   4.810","  22.962","  13.409","   3.725"," 94","0"," 79"," 96","  88.677"," 642.000"," 178.333","  28.000","    0","  300"
"15:10:48:459","41306956592671","   1.033","  42.036"," 3290"," 2000"," 3300"," 3800","  24.593","  19.784","   5.496","  20.549","  15.470","   4.297"," 95","0"," 80"," 96","  89.368"," 722.000"," 200.556","  28.000","    0","  300"
"15:10:48:563","41307164330773","   1.137","  34.698"," 3289"," 2200"," 3300"," 3799","  21.760","  22.048","   6.124","  17.842","  17.327","   4.813"," 89","0"," 77"," 96","  88.558"," 799.000"," 221.944","  28.000","    0","  300"
"15:10:48:667","41307372974333","   1.241","  58.052"," 3164"," 1500"," 3300"," 3798","  25.955","  24.760","   6.878","  20.367","  19.455","   5.404"," 95","0"," 78"," 95","  87.032"," 877.000"," 243.611","  28.000","    0","  300"
"15:10:48:768","41307574686653","   1.342","  56.578"," 3092"," 2200"," 3300"," 3800","  24.442","  27.229","   7.564","  18.664","  21.340","   5.928"," 87","0"," 80"," 95","  87.667"," 957.000"," 265.833","  28.000","    0","  300"
"15:10:48:869","41307775064679","   1.442","  65.323"," 3094"," 2200"," 3300"," 3800","  26.044","  29.842","   8.290","  20.150","  23.362","   6.489"," 94","0"," 81"," 94","  87.688","1038.000"," 288.333","  28.000","  500","  300"
"15:10:48:969","41307975342659","   1.543","  61.302"," 3206"," 2200"," 3600"," 3800","  28.768","  32.728","   9.091","  24.362","  25.806","   7.168"," 97","0"," 81"," 98","  92.142","1119.000"," 310.833","  28.000","    0","  300"
"15:10:49:071","41308178551283","   1.644","  68.979"," 3170"," 2200"," 3300"," 3800","  29.063","  35.685","   9.913","  24.664","  28.315","   7.865"," 93","0"," 81"," 99","  93.292","1200.000"," 333.333","  28.000","    0","  300"
"15:10:49:174","41308385222673","   1.748","  60.897"," 3263","  700"," 3300"," 3800","  30.568","  38.849","  10.791","  26.067","  31.013","   8.615","100","0"," 85","100","  94.150","1285.000"," 356.944","  28.000","    0","  300"
"15:10:49:275","41308585355291","   1.848","  73.312"," 3241","  700"," 3300"," 3800","  32.442","  42.101","  11.695","  27.553","  33.775","   9.382"," 99","0"," 86","100","  96.625","1371.000"," 380.833","  28.000","    0","  300"
"15:10:49:375","41308786967815","   1.949","  90.463"," 3246"," 2200"," 3300"," 3800","  32.694","  45.402","  12.612","  26.077","  36.408","  10.113"," 98","0"," 86","100","  95.927","1457.000"," 404.722","  28.000","    0","  300"
"15:10:49:478","41308991536641","   2.052","  86.599"," 3209"," 2200"," 3300"," 3800","  32.273","  48.708","  13.530","  26.270","  39.099","  10.861"," 98","0"," 88","100","  96.291","1545.000"," 429.167","  28.000","    0","  300"
"15:10:49:579","41309192478869","   2.152","  77.750"," 3202"," 2200"," 3300"," 3800","  31.091","  51.837","  14.399","  24.831","  41.598","  11.555"," 97","0"," 89","100","  95.734","1634.000"," 453.889","  28.000","    0","  300"
"15:10:49:683","41309401960721","   2.257","  84.241"," 3193"," 2200"," 3300"," 3800","  31.716","  55.164","  15.323","  24.087","  44.125","  12.257","100","0"," 86","100","  94.945","1720.000"," 477.778","  28.000","  600","  600"
"15:10:49:784","41309603473351","   2.358","  90.012"," 3162","  700"," 3300"," 3800","  32.140","  58.408","  16.224","  23.094","  46.456","  12.904"," 97","0"," 88","100","  95.049","1808.000"," 502.222","  28.000","    0","  300"
"15:10:49:885","41309803617889","   2.458","  72.259"," 3022","  700"," 3300"," 3800","  27.493","  61.163","  16.990","  22.638","  48.725","  13.535"," 98","0"," 85","100","  93.566","1893.000"," 525.833","  28.000","    0","  300"
"15:10:49:985","41310004056993","   2.559","  60.639"," 3117"," 2200"," 3600"," 3800","  27.476","  63.921","  17.756","  22.715","  51.005","  14.168"," 98","0"," 84","100","  93.550","1977.000"," 549.167","  28.000","    0","  300"
"15:10:50:087","41310206823215","   2.660","  73.932"," 3183"," 2200"," 3300"," 3800","  30.830","  67.052","  18.626","  24.313","  53.474","  14.854"," 97","0"," 84","100","  94.095","2061.000"," 572.500","  28.000","    0","  300"
"15:10:50:187","41310407190463","   2.761","  75.967"," 3162"," 1000"," 3300"," 3800","  29.986","  70.061","  19.461","  23.956","  55.877","  15.522"," 97","0"," 88","100","  94.725","2149.000"," 596.944","  28.000","    0","  300"
"15:10:50:290","41310613675613","   2.864","  77.980"," 3170","  900"," 3400"," 3800","  30.859","  73.252","  20.348","  25.139","  58.477","  16.244"," 99","0"," 87","100","  95.636","2236.000"," 621.111","  28.000","    0","  300"
"15:10:50:395","41310823200883","   2.969","  61.966"," 3125","  700"," 3300"," 3800","  27.602","  76.148","  21.152","  23.055","  60.896","  16.916"," 98","0"," 83","100","  94.581","2319.000"," 644.167","  28.000","    0","  300"
"15:10:50:499","41311031329153","   3.073","  64.049"," 3114","  700"," 3300"," 3800","  29.472","  79.220","  22.006","  24.559","  63.456","  17.627"," 98","0"," 83","100","  94.885","2402.000"," 667.222","  28.000","    0","  300"
"15:10:50:601","41311234819777","   3.175","  65.711"," 3092","  700"," 3300"," 3800","  27.367","  82.009","  22.780","  21.815","  65.679","  18.244"," 97","0"," 84","100","  92.678","2486.000"," 690.556","  28.000","  500","  500"
"15:10:50:703","41311437470715","   3.277","  78.241"," 3176"," 2200"," 3300"," 3800","  30.268","  85.081","  23.634","  24.255","  68.141","  18.928"," 98","0"," 86","100","  94.704","2572.000"," 714.444","  28.000","    0","  300"
