"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"15:11:14:733","41359420933545","   0.104","  23.550"," 2393","  700"," 3300"," 3800","  10.357","   1.078","   0.299","   6.409","   0.667","   0.185"," 74","0"," 69"," 76","  71.943","  69.000","  19.167","  28.000","    0","  300"
"15:11:14:837","41359628854587","   0.208","  34.477"," 2704","  700"," 3800"," 3797","  15.571","   2.699","   0.750","  11.806","   1.896","   0.527"," 79","0"," 70"," 85","  76.601"," 139.000","  38.611","  28.000","    0","  300"
"15:11:14:938","41359831307117","   0.310","  38.369"," 2848","  700"," 3300"," 3800","  18.644","   4.589","   1.275","  15.131","   3.430","   0.953"," 84","0"," 74"," 88","  80.851"," 213.000","  59.167","  28.000","    0","  300"
"15:11:15:038","41360031793571","   0.410","  52.738"," 2689","  700"," 3300"," 3800","  20.704","   6.668","   1.852","  16.586","   5.096","   1.415"," 89","0"," 76"," 92","  82.461"," 289.000","  80.278","  28.000","    0","  300"
"15:11:15:139","41360232973555","   0.511","  61.650"," 2845","  700"," 3300"," 3800","  25.242","   9.211","   2.559","  21.062","   7.218","   2.005"," 87","0"," 78"," 94","  87.252"," 367.000"," 101.944","  28.000","    0","  300"
"15:11:15:242","41360438399923","   0.614","  66.679"," 3009","  700"," 3300"," 3800","  28.284","  12.121","   3.367","  23.964","   9.683","   2.690"," 95","0"," 80"," 97","  90.558"," 447.000"," 124.167","  28.000","    0","  300"
"15:11:15:342","41360638712247","   0.714","  42.387"," 2988"," 1100"," 3300"," 3800","  21.867","  14.315","   3.976","  18.162","  11.505","   3.196"," 91","0"," 80"," 97","  88.730"," 527.000"," 146.389","  28.000","    0","  300"
"15:11:15:443","41360839405525","   0.814","  70.831"," 3233"," 2000"," 3300"," 3800","  32.211","  17.552","   4.876","  28.155","  14.335","   3.982"," 99","0"," 87","100","  95.409"," 614.000"," 170.556","  28.000","    0","  300"
"15:11:15:543","41361039974973","   0.915","  83.348"," 3189","  700"," 3300"," 3800","  31.958","  20.762","   5.767","  27.329","  17.080","   4.744"," 99","0"," 89","100","  96.424"," 703.000"," 195.278","  28.000","    0","  300"
"15:11:15:644","41361240662105","   1.015","  66.708"," 3043","  700"," 3300"," 3800","  26.766","  23.452","   6.515","  22.310","  19.322","   5.367"," 96","0"," 83","100","  93.823"," 786.000"," 218.333","  28.000","    0","  300"
"15:11:15:745","41361442141289","   1.116","  48.715"," 3080","  800"," 3300"," 3800","  25.414","  26.017","   7.227","  21.095","  21.451","   5.959"," 96","0"," 84"," 98","  91.812"," 870.000"," 241.667","  28.000","    0","  300"
"15:11:15:849","41361649866483","   1.220","  36.522"," 3080"," 1700"," 3300"," 3800","  19.789","  28.075","   7.799","  15.828","  23.097","   6.416"," 93","0"," 80"," 97","  88.269"," 950.000"," 263.889","  28.000","    0","  300"
"15:11:15:953","41361858238577","   1.325","  52.277"," 3129"," 1500"," 3300"," 3800","  26.579","  30.849","   8.569","  22.486","  25.444","   7.068"," 95","0"," 81"," 99","  92.080","1031.000"," 286.389","  28.000","    0","  300"
"15:11:16:056","41362063001647","   1.427","  54.877"," 3109"," 1600"," 3300"," 3800","  26.994","  33.617","   9.338","  22.575","  27.759","   7.711"," 97","0"," 83","100","  92.904","1114.000"," 309.444","  28.000","    0","  300"
"15:11:16:159","41362269649981","   1.531","  71.932"," 3235"," 2000"," 3300"," 3800","  33.387","  37.072","  10.298","  28.887","  30.748","   8.541","100","0"," 90","100","  97.643","1204.000"," 334.444","  28.000","    0","  300"
"15:11:16:259","41362469763919","   1.631","  73.709"," 3144"," 1300"," 3300"," 3800","  31.021","  40.181","  11.161","  26.290","  33.383","   9.273","100","0"," 94","100","  98.014","1298.000"," 360.556","  28.000","    0","  300"
"15:11:16:360","41362670658395","   1.731","  74.968"," 3104"," 2000"," 3300"," 3800","  30.448","  43.244","  12.012","  26.082","  36.007","  10.002"," 98","0"," 91","100","  97.337","1389.000"," 385.833","  28.000","    0","  300"
"15:11:16:460","41362871094893","   1.832","  71.238"," 3146"," 2000"," 3300"," 3800","  31.102","  46.366","  12.880","  26.750","  38.692","  10.748","100","0"," 93","100","  97.973","1482.000"," 411.667","  28.000","    0","  300"
"15:11:16:561","41363071241449","   1.932","  77.958"," 3126"," 2000"," 3300"," 3800","  30.440","  49.417","  13.727","  25.612","  41.259","  11.461"," 99","0"," 94","100","  97.339","1576.000"," 437.778","  28.000","    0","  300"
"15:11:16:661","41363271842871","   2.033","  71.312"," 3160"," 1900"," 3300"," 3800","  30.701","  52.502","  14.584","  26.123","  43.884","  12.190","100","0"," 94","100","  97.472","1670.000"," 463.889","  28.000","    0","  300"
"15:11:16:761","41363472134547","   2.133","  69.755"," 3142"," 1900"," 3300"," 3800","  30.448","  55.556","  15.432","  25.970","  46.489","  12.913"," 99","0"," 94","100","  98.091","1764.000"," 490.000","  28.000","    0","  300"
"15:11:16:866","41363680551769","   2.237","  74.351"," 3061"," 2000"," 3200"," 3800","  29.531","  58.638","  16.288","  24.927","  49.090","  13.636"," 99","0"," 89","100","  97.468","1853.000"," 514.722","  28.000","    0","  300"
"15:11:16:969","41363887323427","   2.341","  72.929"," 3090"," 2000"," 3300"," 3800","  29.526","  61.696","  17.138","  25.003","  51.679","  14.355","100","0"," 92","100","  96.850","1945.000"," 540.278","  28.000","    0","  300"
"15:11:17:074","41364095960885","   2.445","  71.976"," 3094"," 1800"," 3200"," 3800","  29.588","  64.787","  17.996","  25.346","  54.328","  15.091","100","0"," 93","100","  97.709","2038.000"," 566.111","  28.000","    0","  300"
"15:11:17:178","41364303450893","   2.549","  67.574"," 3084"," 2000"," 3300"," 3800","  29.368","  67.839","  18.844","  24.947","  56.920","  15.811","100","0"," 90","100","  97.163","2128.000"," 591.111","  28.000","    0","  300"
"15:11:17:282","41364511416645","   2.653","  69.642"," 3073"," 2000"," 3200"," 3800","  29.447","  70.906","  19.696","  24.658","  59.488","  16.524","100","0"," 93","100","  97.065","2221.000"," 616.944","  28.000","    0","  300"
"15:11:17:386","41364719223955","   2.757","  67.331"," 3074","  700"," 3200"," 3800","  28.728","  73.895","  20.526","  24.109","  61.997","  17.221"," 96","0"," 91","100","  96.758","2312.000"," 642.222","  28.000","    0","  300"
"15:11:17:486","41364919764119","   2.858","  72.160"," 3103"," 1100"," 3300"," 3800","  30.224","  76.931","  21.370","  25.871","  64.595","  17.943","100","0"," 91","100","  97.675","2403.000"," 667.500","  28.000","    0","  300"
"15:11:17:590","41365127116705","   2.962","  87.791"," 3066"," 2000"," 3200"," 3800","  30.422","  80.090","  22.247","  25.893","  67.284","  18.690","100","0"," 92","100","  98.399","2495.000"," 693.056","  28.000","    0","  300"
"15:11:17:691","41365327587705","   3.062","  73.929"," 3103"," 1800"," 3300"," 3800","  30.101","  83.112","  23.087","  25.504","  69.845","  19.401","100","0"," 94","100","  97.682","2589.000"," 719.167","  28.000","    0","  300"
"15:11:17:791","41365528050893","   3.162","  77.225"," 3028"," 2000"," 3300"," 3800","  29.379","  86.061","  23.906","  25.237","  72.378","  20.105","100","0"," 88","100","  98.382","2677.000"," 743.611","  28.000","    0","  300"
"15:11:17:891","41365728366735","   3.263","  76.189"," 2997"," 2000"," 3100"," 3800","  28.920","  88.963","  24.712","  24.422","  74.828","  20.786","100","0"," 92","100","  97.065","2769.000"," 769.167","  28.000","    0","  300"
"15:11:17:992","41365930104425","   3.364","  72.050"," 3090"," 2000"," 3300"," 3800","  29.540","  91.947","  25.541","  24.981","  77.352","  21.487","100","0"," 93","100","  97.440","2862.000"," 795.000","  28.000","    0","  300"
"15:11:18:093","41366130932561","   3.464","  77.177"," 3064"," 2000"," 3200"," 3800","  29.125","  94.876","  26.354","  24.570","  79.823","  22.173","100","0"," 93","100","  97.139","2955.000"," 820.833","  28.000","    0","  300"
"15:11:18:195","41366334238969","   3.566","  75.481"," 3074"," 1700"," 3300"," 3800","  29.683","  97.898","  27.194","  25.220","  82.391","  22.886"," 98","0"," 92","100","  97.996","3047.000"," 846.389","  28.000","    0","  300"
"15:11:18:298","41366540278051","   3.669","  68.290"," 3098"," 2000"," 3300"," 3800","  29.407"," 100.933","  28.037","  24.506","  84.920","  23.589","100","0"," 91","100","  97.260","3138.000"," 871.667","  28.000","    0","  300"
"15:11:18:401","41366747075153","   3.773","  75.760"," 3089"," 2000"," 3200"," 3800","  29.960"," 104.035","  28.899","  25.172","  87.527","  24.313"," 99","0"," 92","100","  98.200","3230.000"," 897.222","  28.000","    0","  300"
"15:11:18:504","41366952085123","   3.876","  75.386"," 3108","  700"," 3200"," 3800","  29.357"," 107.050","  29.736","  24.714","  90.064","  25.018"," 99","0"," 93","100","  97.603","3323.000"," 923.056","  28.000","    0","  300"
"15:11:18:608","41367160300419","   3.980","  69.597"," 3089"," 2000"," 3300"," 3800","  29.014"," 110.075","  30.576","  24.585","  92.628","  25.730","100","0"," 93","100","  97.615","3416.000"," 948.889","  28.000","    0","  300"
"15:11:18:709","41367360613613","   4.080","  79.156"," 3033"," 2000"," 3100"," 3800","  28.014"," 112.885","  31.357","  23.189","  94.954","  26.376","100","0"," 89","100","  96.384","3505.000"," 973.611","  28.000","    0","  300"
"15:11:18:809","41367560981745","   4.181","  81.839"," 3044"," 2000"," 3200"," 3800","  28.980"," 115.793","  32.165","  24.431","  97.405","  27.057","100","0"," 92","100","  97.114","3597.000"," 999.167","  28.000","    0","  300"
"15:11:18:911","41367763838313","   4.282","  72.648"," 3100"," 2000"," 3200"," 3800","  29.022"," 118.742","  32.984","  24.078","  99.851","  27.737"," 98","0"," 92","100","  97.668","3689.000","1024.722","  28.000","    0","  300"
"15:11:19:014","41367970200077","   4.385","  72.134"," 3033","  700"," 3300"," 3800","  28.300"," 121.666","  33.796","  23.713"," 102.302","  28.417"," 99","0"," 90","100","  97.346","3779.000","1049.722","  28.000","    0","  300"
"15:11:19:116","41368174673345","   4.488","  74.423"," 3048","  700"," 3200"," 3800","  29.330"," 124.670","  34.630","  24.552"," 104.816","  29.116","100","0"," 92","100","  97.615","3871.000","1075.278","  28.000","    0","  300"
"15:11:19:217","41368375232453","   4.588","  77.314"," 3097","  700"," 3200"," 3800","  29.837"," 127.667","  35.463","  24.523"," 107.279","  29.800"," 99","0"," 92","100","  97.752","3963.000","1100.833","  28.000","    0","  300"
"15:11:19:321","41368583231159","   4.692","  65.696"," 3071","  700"," 3200"," 3800","  28.376"," 130.622","  36.284","  23.881"," 109.767","  30.491"," 99","0"," 92","100","  97.379","4055.000","1126.389","  28.000","    0","  300"
"15:11:19:424","41368788439995","   4.795","  44.869"," 3200"," 1500"," 3300"," 3794","  25.021"," 133.194","  36.998","  20.928"," 111.918","  31.088","100","0"," 83","100","  96.171","4138.000","1149.444","  28.000","    0","  300"
"15:11:19:526","41368991619747","   4.897","  70.643"," 3077"," 2000"," 3300"," 3800","  29.098"," 136.154","  37.821","  24.731"," 114.434","  31.787"," 99","0"," 90","100","  97.451","4228.000","1174.444","  28.000","    0","  300"
"15:11:19:626","41369192019705","   4.997","  64.894"," 3196"," 2000"," 3300"," 3800","  30.282"," 139.194","  38.665","  25.516"," 116.995","  32.499","100","0"," 93","100","  97.983","4321.000","1200.278","  28.000","    0","  300"
"15:11:19:730","41369400258065","   5.102","  69.447"," 3029"," 1600"," 3200"," 3800","  28.097"," 142.124","  39.479","  23.720"," 119.469","  33.186","100","0"," 94","100","  97.556","4415.000","1226.389","  28.000","    0","  300"
"15:11:19:832","41369604121045","   5.204","  76.137"," 3029","  700"," 3200"," 3800","  28.319"," 145.015","  40.282","  23.814"," 121.900","  33.861","100","0"," 89","100","  97.210","4504.000","1251.111","  28.000","    0","  300"
"15:11:19:936","41369812043929","   5.308","  80.327"," 3020","  700"," 3300"," 3800","  28.630"," 147.996","  41.110","  23.718"," 124.369","  34.547","100","0"," 89","100","  96.440","4593.000","1275.833","  28.000","    0","  300"
"15:11:20:039","41370016721071","   5.410","  76.248"," 3051","  700"," 3200"," 3800","  28.470"," 150.914","  41.921","  23.909"," 126.820","  35.228","100","0"," 90","100","  97.433","4683.000","1300.833","  28.000","    0","  300"
"15:11:20:139","41370217357609","   5.511","  80.443"," 2986","  700"," 3200"," 3800","  28.619"," 153.790","  42.719","  24.204"," 129.252","  35.903","100","0"," 93","100","  97.970","4776.000","1326.667","  28.000","    0","  300"
"15:11:20:240","41370418924609","   5.612","  76.853"," 2995"," 2000"," 3200"," 3800","  27.832"," 156.599","  43.500","  23.398"," 131.614","  36.559"," 99","0"," 91","100","  97.250","4867.000","1351.944","  28.000","    0","  300"
"15:11:20:341","41370620167051","   5.713","  73.579"," 3057"," 2000"," 3200"," 3800","  28.920"," 159.514","  44.309","  24.391"," 134.072","  37.242"," 99","0"," 94","100","  97.572","4961.000","1378.056","  28.000","    0","  300"
"15:11:20:442","41370821170579","   5.813","  70.319"," 2994","  700"," 3200"," 3800","  28.251"," 162.358","  45.099","  23.501"," 136.438","  37.899"," 98","0"," 93","100","  97.713","5054.000","1403.889","  28.000","  500","  500"
"15:11:20:542","41371021604801","   5.914","  68.458"," 3033"," 1600"," 3200"," 3800","  28.676"," 165.236","  45.899","  23.714"," 138.818","  38.561","100","0"," 92","100","  96.989","5146.000","1429.444","  28.000","    0","  300"
"15:11:20:646","41371229286433","   6.018","  64.553"," 3119"," 2100"," 3300"," 3800","  29.207"," 168.274","  46.743","  24.313"," 141.347","  39.263"," 98","0"," 94","100","  98.128","5240.000","1455.556","  28.000","    0","  300"
"15:11:20:747","41371429794385","   6.118","  69.341"," 3100"," 2100"," 3300"," 3800","  28.792"," 171.165","  47.546","  24.000"," 143.757","  39.932","100","0"," 90","100","  97.893","5330.000","1480.556","  28.000","    0","  300"
"15:11:20:847","41371630061377","   6.218","  63.735"," 3041"," 2100"," 3200"," 3800","  27.560"," 173.929","  48.314","  22.833"," 146.047","  40.569"," 99","0"," 90","100","  96.604","5420.000","1505.556","  28.000","    0","  300"
"15:11:20:947","41371830245809","   6.319","  63.070"," 3079","  700"," 3200"," 3800","  28.818"," 176.818","  49.116","  23.979"," 148.451","  41.236","100","0"," 90","100","  97.030","5510.000","1530.556","  28.000","    0","  300"
"15:11:21:047","41372030515157","   6.419","  56.349"," 3110"," 2000"," 3300"," 3800","  28.677"," 179.695","  49.915","  24.000"," 150.858","  41.905","100","0"," 93","100","  97.909","5603.000","1556.389","  28.000","    0","  300"
"15:11:21:148","41372230753957","   6.519","  56.126"," 3096"," 2000"," 3200"," 3800","  28.986"," 182.601","  50.723","  24.207"," 153.286","  42.579","100","0"," 92","100","  98.121","5695.000","1581.944","  28.000","    0","  300"
