correlation_item,r,p
LOC,-0.025,0.208
SC,-0.545,0.0
AR,-0.293,0.0
ET,-0.468,0.0
MG,-0.062,0.008
ST,,
UT,0.153,0.0
RA,-0.029,0.219
DepT,,
MNT,-0.179,0.0
CTL,0.064,0.006
EmT,,
GF,,
IgT,,
SE,-0.136,0.0
VT,-0.103,0.0
DT,,
RO,-0.088,0.0
DA,-0.092,0.0
EH,0.015,0.523
CI,,
RP,,
LT,-0.457,0.0
