TC,LOC,SC,E
org.apache.commons.collections4.iterators.ObjectArrayListIteratorTest#testListIteratorSet,15,4,216.837433
org.apache.commons.collections4.list.FixedSizeListTest#testAdd,4,1,223.095596
org.apache.commons.collections4.bidimap.AbstractBidiMapTest#testBidiGetKey,3,0,217.878555
org.apache.commons.collections4.CollectionUtilsTest#testIsEqualCollectionNullColl1,17,1,228.417709
org.apache.commons.collections4.list.CursorableLinkedListTest#testToArray,38,32,222.137405
org.apache.commons.collections4.IterableUtilsTest#forEach,16,2,210.541
org.apache.commons.collections4.map.AbstractMapTest#testEntrySetContains3,9,0,219.52597
org.apache.commons.collections4.list.AbstractListTest#testListAddByIndexBoundsChecking2,14,0,213.836349
org.apache.commons.collections4.iterators.FilterIteratorTest#testRepeatedNext,6,2,223.649902
org.apache.commons.collections4.iterators.SkippingIteratorTest#testRemoveUnsupported,12,5,223.852951
org.apache.commons.collections4.CollectionUtilsTest#extractSingleton,18,2,209.677597
org.apache.commons.collections4.map.LRUMapTest#testRemoveLRU,17,12,223.166229
org.apache.commons.collections4.MapUtilsTest#testIsNotEmptyWithNonEmptyMap,5,3,206.033035
org.apache.commons.collections4.map.Flat3MapTest#testRemove8,15,8,221.842697
org.apache.commons.collections4.map.PassiveExpiringMapTest#testKeySet,4,0,225.693924
org.apache.commons.collections4.collection.CompositeCollectionTest#testIsEmpty,9,8,200.097855
org.apache.commons.collections4.PredicateUtilsTest#testIdentityPredicate,9,9,216.953552
org.apache.commons.collections4.list.AbstractListTest#testListGetByIndex,9,0,204.209152
org.apache.commons.collections4.properties.EmptyPropertiesTest#testStoreToOutputStream,17,0,218.104919
org.apache.commons.collections4.properties.EmptyPropertiesTest#testHashCode,3,0,210.546066
org.apache.commons.collections4.map.Flat3MapTest#testEntryIteratorSetValue1,16,25,224.210815
org.apache.commons.collections4.map.ListOrderedMapTest#testPutAllWithIndex,19,27,213.427704
org.apache.commons.collections4.map.Flat3MapTest#testSerialisation2,20,17,228.495804
org.apache.commons.collections4.CollectionUtilsTest#testIsSubCollection2,38,29,229.123108
org.apache.commons.collections4.collection.AbstractCollectionTest#testCollectionContains,25,0,217.001678
org.apache.commons.collections4.QueueUtilsTest#testPredicatedQueue,6,0,224.069656
org.apache.commons.collections4.list.Collections701Test#testSetUniqueList,7,0,218.489929
org.apache.commons.collections4.keyvalue.TiedMapEntryTest#testConstructors,2,1,220.334412
org.apache.commons.collections4.map.Flat3MapTest#testRemove10,8,4,210.570755
