TC,LOC,SC,E
org.jsoup.safety.CleanerTest#testDropXmlProc,5,1,112.916397
org.jsoup.parser.HtmlParserTest#testInvalidTableContents,11,0,115.10437
org.jsoup.integration.ParseTest#testFileParseNoCharsetMethod,5,0,111.99791
org.jsoup.integration.ConnectTest#maxBodySizeInReadToByteBuffer,14,0,117.64595
org.jsoup.select.SelectorTest#testGroupOr,15,12,120.238495
org.jsoup.nodes.EntitiesTest#notMissingMultis,5,2,110.968552
org.jsoup.nodes.EntitiesTest#getByName,6,4,115.711868
org.jsoup.integration.ConnectTest#fetchURIWithWhitespace,5,0,124.325165
org.jsoup.internal.StringUtilTest#stripsControlCharsFromUrls,3,2,110.232956
org.jsoup.select.SelectorTest#testWildcardNamespacedXmlTag,17,14,122.782898
org.jsoup.nodes.AttributeTest#html,5,7,110.346252
org.jsoup.parser.HtmlParserTest#discardsNakedTds,5,0,113.475861
org.jsoup.internal.StringUtilTest#isAscii,8,6,110.961548
org.jsoup.nodes.EntitiesTest#controlCharactersAreEscaped,7,2,115.634476
org.jsoup.nodes.ElementTest#testNoIndentOnScriptAndStyle,4,2,117.543854
org.jsoup.nodes.NodeTest#testRemove,7,5,113.221909
org.jsoup.nodes.ElementTest#testBrHasSpace,7,8,116.872589
org.jsoup.parser.HtmlParserTest#parsesSimpleDocument,9,0,115.355286
org.jsoup.parser.HtmlParserTest#parseFragmentOnCreatedDocument,8,0,111.81778
org.jsoup.nodes.EntitiesTest#strictUnescape,6,4,117.948013
org.jsoup.parser.HtmlParserTest#normalisesDocument,5,0,123.491058
org.jsoup.select.SelectorTest#attributeWithBrackets,8,4,114.812088
org.jsoup.select.ElementsTest#empty,6,4,121.686646
org.jsoup.integration.UrlConnectTest#ignoresContentTypeIfSoConfigured,4,0,115.339523
org.jsoup.integration.UrlConnectTest#followsRedirectsWithWithespaces,5,0,113.391785
org.jsoup.parser.HtmlParserTest#caseInsensitiveParseTree,6,0,113.398972
org.jsoup.parser.CharacterReaderTest#bufferUp,19,12,109.139755
org.jsoup.nodes.ElementTest#testExpectFirstMessage,13,5,123.040268
org.jsoup.nodes.NodeTest#changingAttributeValueShouldReplaceExistingAttributeCaseInsensitive,6,2,119.422516
org.jsoup.parser.HtmlParserTest#canPreserveBothCase,9,0,117.317841
org.jsoup.nodes.ElementTest#testElementSiblingIndex,7,9,119.969421
org.jsoup.select.SelectorTest#testPseudoEquals,11,8,117.564911
org.jsoup.select.SelectorTest#testPsuedoContainsWithParentheses,9,6,112.882278
org.jsoup.parser.HtmlParserTest#handlesImplicitCaptionClose,4,0,112.864685
org.jsoup.parser.XmlTreeBuilderTest#testParseDeclarationWithoutAttributes,8,3,109.674377
