TC,LOC,SC,E,P,T,ESLoc,PSLoc,TSLoc,AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.commons.dbutils.DbUtilsTest#rollbackAndCloseQuietly,6,3,206.48497,11.92903,17.356047,412.96994,23.85806,34.712094,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.AsyncQueryRunnerTest#testTooFewParamsBatch,4,1,216.634918,11.972441,18.094466,866.539672,47.889764,72.377864,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.handlers.columns.FloatColumnHandlerTest#testApplyType,4,1,207.067474,11.962344,17.26547,828.269896,47.849376,69.06188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.handlers.columns.SQLXMLColumnHandlerTest#testApplyType,4,1,204.982376,11.985751,17.062621,819.929504,47.943004,68.250484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.QueryRunnerTest#testGoodBatchPmdTrue,5,3,219.441956,12.053079,18.206299,365.73659333333336,20.088465000000003,30.34383166666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.handlers.properties.StringEnumPropertyHandlerTest#testMatchNegative,4,3,175.328979,11.947606,14.674822,233.771972,15.930141333333333,19.566429333333335,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.dbutils.handlers.columns.StringColumnHandlerTest#testApplyType,4,1,205.397415,11.99181,17.058004,821.58966,47.96724,68.232016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.DbUtilsTest#closeConnection,5,3,198.827362,11.994878,16.58127,331.3789366666667,19.991463333333336,27.635450000000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.handlers.columns.BooleanColumnHandlerTest#testApplyType,4,1,205.367294,11.983628,17.168584,821.469176,47.934512,68.674336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.DbUtilsTest#closeQuietlyNullStatement,3,3,179.53891,11.936509,14.987135,179.53891,11.936509,14.987135,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.GenerousBeanProcessorTest#testMapColumnsToPropertiesWithUnderscores,13,13,206.235992,11.954021,17.357467,206.235992,11.954021,17.357467,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.handlers.columns.IntegerColumnHandlerTest#testApplyType,4,1,207.733795,11.956421,17.345735,830.93518,47.825684,69.38294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.handlers.properties.DatePropertyHandlerTest#testApplyTypeOfDate,3,2,184.194473,11.914416,15.462915,276.2917095,17.871624,23.194372500000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.dbutils.QueryRunnerTest#testGoodQueryDefaultConstructor,4,2,218.952408,12.002097,18.276782,437.904816,24.004194,36.553564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
