TC,LOC,SC,E
org.apache.commons.imaging.formats.tiff.photometricinterpreters.floatingpoint.PhotometricInterpreterFloatTest#testInterpretPixel,18,8,194.071075
org.apache.commons.imaging.formats.bmp.BmpReadTest#testGetMaskShiftZeroMask,4,0,196.307632
org.apache.commons.imaging.color.ColorHsvTest#testVAssignment,3,2,185.539612
org.apache.commons.imaging.formats.jpeg.exif.ExifRewriteTest#testInsert,46,0,204.387421
org.apache.commons.imaging.color.ColorHsvTest#testHashCodeAndEquals,4,3,189.493881
org.apache.commons.imaging.formats.tiff.datareaders.DataReaderStripsTest#testApplyPredictor,12,4,191.883911
org.apache.commons.imaging.color.ColorCmyTest#testEquals,4,3,197.600266
org.apache.commons.imaging.formats.jpeg.exif.ExifRewriteTest#testRewriteLossless,4,0,211.07518
org.apache.commons.imaging.formats.icns.IcnsRoundTripTest#test32BPPMaskMissingIcon,27,0,194.070374
org.apache.commons.imaging.color.ColorHslTest#testHAssignment,3,2,186.399048
org.apache.commons.imaging.formats.tiff.TiffRasterStatisticsTest#testGetCountOfNulls,4,4,189.320633
org.apache.commons.imaging.formats.bmp.BmpImageParserTest#testImageWidthRounding,7,7,187.427292
org.apache.commons.imaging.formats.gif.GifReadTest#testConvertValidDisposalMethodValues,18,0,191.347366
org.apache.commons.imaging.roundtrip.GrayscaleRountripTest#testGrayscaleRoundtrip,4,0,823.202667
org.apache.commons.imaging.formats.ico.IcoRoundtripTest#testZeroColorPlanes,24,0,195.084885
org.apache.commons.imaging.formats.tiff.TiffRasterDataTest#testGetHeight,3,2,186.113037
org.apache.commons.imaging.color.ColorCieLuvTest#testToString,3,2,195.61348
org.apache.commons.imaging.formats.jpeg.segments.AppnSegmentTest#testCreatesAppnSegment,5,3,194.814911
org.apache.commons.imaging.common.BinaryFileFunctionsTest#testDoubleToByteConversion,6,0,190.930878
org.apache.commons.imaging.formats.png.PngWriteReadTest#testPhysicalScaleMeters,16,0,199.497345
org.apache.commons.imaging.formats.psd.PsdReadTest#test,14,0,197.219177
org.apache.commons.imaging.formats.bmp.BmpWriterRgbTest#testGetImageData,9,8,192.846588
org.apache.commons.imaging.formats.rgbe.RgbeReadTest#test,13,0,199.262238
org.apache.commons.imaging.formats.png.chunks.PngChunkScalTest#testConstructRadians,6,7,194.05455
org.apache.commons.imaging.color.ColorHsvTest#testSAssignment,3,2,191.296082
org.apache.commons.imaging.formats.icns.IcnsRoundTripTest#test8BPPIcon8BPPMaskVersus1BPPMask,51,0,199.807129
org.apache.commons.imaging.color.ColorHslTest#testHashCodeAndEquals,4,3,194.697769
org.apache.commons.imaging.color.ColorHunterLabTest#testHashCodeAndEquals,4,3,193.933105
org.apache.commons.imaging.formats.png.PngReadTest#testUncaughtExceptionOssFuzz33691,6,0,192.167923
org.apache.commons.imaging.formats.icns.IcnsReadTest#testImageInfo,4,0,196.523727
org.apache.commons.imaging.formats.psd.ImageResourceBlockTest#testCreatesImageResourceBlockAndCallsGetName,5,2,192.557358
org.apache.commons.imaging.color.ColorCieLabTest#testHashCodeAndEquals,4,3,192.579102
org.apache.commons.imaging.formats.gif.GifReadTest#testConvertInvalidDisposalMethodValues,3,0,191.285156
org.apache.commons.imaging.formats.jpeg.JpegWithJpegThumbnailTest#testSingleImage,8,0,196.133408
org.apache.commons.imaging.formats.tiff.TiffRasterStatisticsTest#testGetExcludedValue,4,3,189.468155
org.apache.commons.imaging.common.RationalNumberTest#testRationalNumber,10,3,194.19397
org.apache.commons.imaging.formats.png.chunks.PngChunkScalTest#testConstruct_InvalidDblValue,3,1,192.52977
org.apache.commons.imaging.formats.jpeg.decoder.JpegDecoderTest#testDecodeBadFile,5,2,201.816544
org.apache.commons.imaging.color.ColorHsvTest#testHAssignment,3,2,193.572906
org.apache.commons.imaging.formats.icns.IcnsReadTest#testImageMetadata,3,0,193.683212
org.apache.commons.imaging.color.ColorXyzTest#testXAssignment,3,2,190.968231
org.apache.commons.imaging.formats.gif.GifReadTest#testBufferedImagesForAnimatedImageGif,4,0,195.280487
org.apache.commons.imaging.common.itu_t4.HuffmanTreeExceptionTest#testCreatesHuffmanTreeExceptionTakingString,5,1,197.65535
org.apache.commons.imaging.common.ImageBuilderTest#testConstructorBounds,4,1,189.850174
org.apache.commons.imaging.formats.xpm.XpmReadTest#test,13,0,204.142502
org.apache.commons.imaging.color.ColorXyzTest#testToString,3,2,193.375702
org.apache.commons.imaging.formats.jpeg.iptc.IptcUpdateTest#testInsert,20,0,196.654251
org.apache.commons.imaging.formats.tiff.TiffRasterDataTest#testGetDataType,4,0,191.664948
org.apache.commons.imaging.formats.tiff.taginfos.TagInfoSBytesTest#testCreatesTagInfoSBytesAndCallsEncodeValue,8,2,190.351715
org.apache.commons.imaging.formats.tiff.TiffReadTest#testReadDirectories,13,0,194.372131
org.apache.commons.imaging.formats.jpeg.exif.GpsTest#test,22,0,190.109756
org.apache.commons.imaging.formats.jpeg.iptc.IptcUpdateTest#testNoChangeUpdate,22,0,193.20462
org.apache.commons.imaging.formats.ico.IcoRoundtripTest#testColorsUsed,17,0,196.082764
org.apache.commons.imaging.color.ColorCieLchTest#testHashCodeAndEquals,4,3,189.127899
org.apache.commons.imaging.formats.pnm.PgmFileInfoTest#testGetBitDepth,4,4,187.209549
org.apache.commons.imaging.color.ColorCieLchTest#testLAssignment,3,2,191.108994
org.apache.commons.imaging.formats.tiff.TiffAlphaRoundTripTest#testExtraSamples,61,0,195.187576
org.apache.commons.imaging.color.ColorCmykTest#testYAssignment,3,2,193.162781
org.apache.commons.imaging.formats.tiff.TiffSubImageTest#testSubImage,14,0,202.016434
org.apache.commons.imaging.formats.pnm.WhiteSpaceReaderTest#testReadLineReturningNonEmptyString,8,5,197.682053
org.apache.commons.imaging.formats.tiff.fieldtypes.FieldTypeShortTest#testCreatesFieldTypeShortAndCallsWriteData,12,4,184.692108
org.apache.commons.imaging.formats.tiff.photometricinterpreters.floatingpoint.PaletteEntryForValueTest#testFaultyConstructors,11,2,191.814026
org.apache.commons.imaging.formats.tiff.TiffRasterStatisticsTest#testGetMaxValue,4,4,193.478973
org.apache.commons.imaging.formats.pnm.PnmImageParserTest#testGetImageInfo_happyCase,10,11,194.276642
org.apache.commons.imaging.formats.bmp.BmpRoundtripTest#testSingleBlackPixel,4,0,189.512314
org.apache.commons.imaging.color.ColorConversionsTest#testRGBtoHSL,9,3,194.693695
org.apache.commons.imaging.formats.tiff.TiffLzwTest#testTrivial,4,0,193.268661
org.apache.commons.imaging.formats.tiff.TiffRasterDataTest#testSetValue2,14,9,191.089417
org.apache.commons.imaging.TestImageInfo#testToStringErrorWhenCommentsIsNull,4,5,194.537979
org.apache.commons.imaging.formats.jpeg.segments.App2SegmentTest#testCompareTo,4,4,199.606705
org.apache.commons.imaging.formats.jpeg.JpegReadTest#testUncaughtExceptionOssFuzz33458,6,0,187.378326
org.apache.commons.imaging.formats.tiff.TiffRasterDataTest#testGetIntData,10,3,193.316559
org.apache.commons.imaging.formats.png.scanlinefilters.ScanlineFilterPaethTest#testUnfilter,6,2,194.383072
org.apache.commons.imaging.color.ColorCieLuvTest#testVAssignment,3,2,193.019547
org.apache.commons.imaging.formats.png.PngReadTest#test,21,0,193.040115
org.apache.commons.imaging.formats.tiff.TiffRasterStatisticsTest#testGetMeanValue,8,4,188.218765
org.apache.commons.imaging.formats.png.chunks.PngChunkScalTest#testConstructMeters,6,7,189.138153
org.apache.commons.imaging.formats.psd.dataparsers.DataParserIndexedTest#testFailsToCreateDataParserIndexedThrowsArrayIndexOutOfBoundsException,11,3,195.414124
org.apache.commons.imaging.formats.tiff.photometricinterpreters.floatingpoint.PhotometricInterpreterFloatTest#testGetMaxXY,5,1,186.817886
org.apache.commons.imaging.TestImageWriteException#testCreateExceptionWithMessage,5,6,193.371613
org.apache.commons.imaging.formats.tiff.TiffAlphaRoundTripTest#test,40,0,212.695435
org.apache.commons.imaging.formats.ico.IcoReadTest#testImageInfo,3,0,191.42897
org.apache.commons.imaging.formats.pnm.PnmImageParserTest#testWriteImageRaw_happyCase,14,4,197.451447
