testcase,loc,median_elapsed_time,median_power,median_energy_consumed
com.google.gson.functional.Java17RecordTest#testThrowingConstructor,19,14.826047,11.831596,175.851456
com.google.gson.functional.Java17RecordTest#testPrimitiveDefaultValues,4,14.807711,11.961189,176.109589
com.google.gson.functional.ReflectionAccessFilterTest#testBlockAllPartial,22,15.973488,11.891088,190.45163
com.google.gson.functional.Java17RecordTest#testEmptyRecord,7,14.543588,11.793742,172.195892
com.google.gson.JsonObjectTest#testReadPropertyWithEmptyStringName,4,16.937607,12.299665,206.97728
com.google.gson.internal.ConstructorConstructorTest#testGet_AbstractClassNoArgConstructor,10,15.861567,11.932864,189.38945
com.google.gson.ObjectTypeAdapterParameterizedTest#testReadWrite,5,15.902403,11.793221,188.063126
com.google.gson.FieldNamingPolicyTest#testUpperCaseFirstLetter,6,15.79031,11.865471,187.359467
com.google.gson.functional.Java17RecordTest#testPrimitiveAdapterNullValue,15,14.649715,11.90287,175.069626
com.google.gson.functional.Java17RecordTest#testUnknownJsonProperty,5,14.72576,11.911951,174.066391
com.google.gson.JsonArrayTest#testRemove,18,15.977411,11.868716,188.996704
com.google.gson.functional.Java17RecordTest#testConstructorRuns,13,14.762871,11.838021,174.763184
com.google.gson.functional.ParameterizedTypesTest#testTypesWithMultipleParametersDeserialization,9,16.078095,11.897736,192.459854
com.google.gson.functional.TypeAdapterRuntimeTypeWrapperTest#testJsonDeserializer_JsonSerializerDelegate,10,16.096799,11.82482,190.329666
com.google.gson.JsonObjectTest#testAddingBooleanProperties,9,16.137027,11.927848,191.464645
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateParseInvalidMonth,9,15.831167,11.853465,187.865646
com.google.gson.JsonObjectTest#testAddingCharacterProperties,12,15.862598,11.896757,187.726257
com.google.gson.internal.GsonBuildConfigTest#testEnsureGsonBuildConfigGetsUpdatedToMavenVersion,3,16.09621,11.859823,190.898193
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateFormatString,9,15.941003,11.883283,189.897919
com.google.gson.JsonArrayTest#testIsEmpty,9,15.987284,11.848178,189.653946
