correlation_item,r,p
LOC,0.197,0.025
SC,-0.368,0.0
AR,-0.312,0.001
ET,-0.247,0.017
MG,,
ST,,
UT,-0.137,0.185
RA,-0.058,0.579
DepT,,
MNT,-0.383,0.0
CTL,0.143,0.165
EmT,,
GF,,
IgT,,
SE,0.067,0.518
VT,0.101,0.328
DT,,
RO,,
DA,-0.09,0.375
EH,0.257,0.011
CI,,
RP,,
LT,-0.292,0.002
