TC,LOC,SC,E
com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypesWithCustomDeserializer,17,0,190.547348
com.google.gson.JsonObjectAsMapTest#testValues,18,0,188.159134
com.google.gson.JsonArrayTest#testIntegerPrimitiveAddition,15,6,190.465439
com.google.gson.functional.Java17RecordTest#testSerializedNameOnAccessor,11,0,176.949615
com.google.gson.internal.StreamsTest#testWriterForAppendable,2,14,188.162216
com.google.gson.JsonObjectTest#testAddingNullOrEmptyPropertyName,11,4,189.108994
com.google.gson.functional.ReflectionAccessFilterTest#testBlockAllCollectionImplementation,10,0,192.181229
com.google.gson.JsonArrayTest#testDeepCopy,11,11,189.584229
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateParseInvalidDay,9,2,190.250473
com.google.gson.internal.ConstructorConstructorTest#testGet_AbstractClassNoArgConstructor,10,0,189.38945
com.google.gson.JsonObjectAsMapTest#testContainsKey,8,0,190.913635
com.google.gson.functional.Java17RecordTest#testPrimitiveAdapterNullValue,15,0,175.069626
com.google.gson.graph.GraphAdapterBuilderTest#testDeserializationWithMultipleTypes,14,0,185.282227
com.google.gson.JsonArrayTest#testBooleanPrimitiveAddition,10,6,186.738068
com.google.gson.graph.GraphAdapterBuilderTest#testDeserializationDirectSelfReference,9,0,186.891846
com.google.gson.stream.JsonReaderPathTest#objectOfObjects,45,0,190.633545
com.google.gson.JsonArrayAsListTest#testClear,8,0,187.609436
com.google.gson.functional.Java17RecordTest#testRecordNull,7,0,174.699402
com.google.gson.JsonArrayTest#testSet,22,17,190.430603
com.google.gson.JsonObjectAsMapTest#testContainsValue,11,0,188.477173
com.google.gson.graph.GraphAdapterBuilderTest#testSerialization,12,0,184.910904
com.google.gson.functional.Java17RecordTest#testUnknownJsonProperty,5,0,174.066391
com.google.gson.JsonObjectAsMapTest#testSize,10,0,191.292603
com.google.gson.functional.TypeAdapterRuntimeTypeWrapperTest#testJsonDeserializer_ReflectiveTreeSerializerDelegate,5,0,190.652893
com.google.gson.GsonBuilderTest#testRegisterTypeAdapterForCoreType,6,7,188.630966
com.google.gson.internal.JavaVersionTest#testJava10,3,3,190.651413
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateFormatWithTimezone,7,2,192.113373
com.google.gson.stream.JsonReaderPathTest#path,56,0,191.044205
com.google.gson.GsonBuilderTest#testDisableJdkUnsafe,10,7,190.114639
com.google.gson.JsonObjectTest#testSize,10,14,191.523331
com.google.gson.internal.JavaVersionTest#testGetMajorJavaVersion,3,3,190.111282
com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypesSerialization,8,0,190.652466
com.google.gson.functional.ParameterizedTypesTest#testVariableTypeArrayDeserialization,10,0,190.326355
