"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"14:12:06:156","38685206898091","   0.104","   6.158","  902","  700"," 1200","  915","   2.690","   0.281","   0.078","   0.487","   0.051","   0.014"," 69","0"," 64"," 69","  66.723","  64.000","  17.778","  28.000","    0","  300"
"14:12:06:272","38685439475131","   0.221","  17.868"," 2493","  700"," 3300"," 2796","   9.061","   1.336","   0.371","   5.902","   0.738","   0.205"," 81","0"," 64"," 81","  70.853"," 128.000","  35.556","  28.000","    0","  300"
"14:12:06:373","38685639825475","   0.321","  32.717"," 3008"," 1800"," 3300"," 3800","  17.288","   3.071","   0.853","  13.473","   2.090","   0.581"," 84","0"," 69"," 85","  77.208"," 197.000","  54.722","  28.000","    0","  300"
"14:12:06:473","38685840870413","   0.422","  30.865"," 2938","  700"," 3300"," 3800","  14.356","   4.516","   1.255","  10.515","   3.149","   0.875"," 76","0"," 70"," 87","  78.203"," 267.000","  74.167","  28.000","    0","  300"
"14:12:06:574","38686041076293","   0.522","  26.078"," 2711","  700"," 3300"," 3313","  12.852","   5.805","   1.612","   9.503","   4.102","   1.139"," 87","0"," 69"," 88","  76.825"," 336.000","  93.333","  28.000","    0","  300"
"14:12:06:674","38686241602457","   0.623","  35.815"," 3267"," 2200"," 3300"," 3800","  22.242","   8.039","   2.233","  18.316","   5.941","   1.650"," 91","0"," 76"," 92","  84.349"," 412.000"," 114.444","  28.000","    0","  300"
"14:12:06:775","38686442204971","   0.723","  34.278"," 3266"," 2000"," 3300"," 3792","  20.732","  10.121","   2.812","  16.969","   7.646","   2.124"," 85","0"," 77"," 93","  86.379"," 489.000"," 135.833","  28.000","    0","  300"
"14:12:06:875","38686642536883","   0.823","  39.938"," 3290"," 2200"," 3300"," 3799","  24.595","  12.589","   3.497","  20.894","   9.742","   2.706"," 93","0"," 75"," 95","  87.820"," 564.000"," 156.667","  28.000","    0","  300"
"14:12:06:975","38686843154293","   0.924","  45.082"," 3290"," 1400"," 3300"," 3800","  27.766","  15.379","   4.272","  23.874","  12.141","   3.372"," 94","0"," 83"," 97","  91.885"," 647.000"," 179.722","  28.000","    0","  300"
"14:12:07:076","38687043342019","   1.024","  31.251"," 3250"," 2200"," 3300"," 3789","  19.147","  17.298","   4.805","  15.394","  13.684","   3.801"," 87","0"," 76"," 96","  88.423"," 723.000"," 200.833","  28.000","    0","  300"
"14:12:07:177","38687246562611","   1.126","  33.029"," 3291"," 2600"," 3300"," 3800","  20.924","  19.428","   5.397","  17.177","  15.432","   4.287"," 92","0"," 78"," 95","  87.087"," 801.000"," 222.500","  28.000","    0","  300"
"14:12:07:281","38687453785335","   1.230","  32.265"," 3290"," 2700"," 3300"," 3797","  20.263","  21.530","   5.981","  16.580","  17.153","   4.765"," 93","0"," 76"," 94","  86.403"," 877.000"," 243.611","  28.000","    0","  300"
"14:12:07:381","38687653845805","   1.330","  43.901"," 3208"," 2200"," 3300"," 3800","  23.608","  23.896","   6.638","  19.643","  19.121","   5.311"," 94","0"," 79"," 96","  88.194"," 956.000"," 265.556","  28.000","    0","  300"
"14:12:07:482","38687854410841","   1.430","  56.256"," 3103"," 2200"," 3300"," 3800","  26.845","  26.592","   7.387","  22.314","  21.362","   5.934"," 97","0"," 79"," 97","  90.313","1035.000"," 287.500","  28.000","    0","  300"
"14:12:07:586","38688061529803","   1.534","  50.545"," 3258"," 2300"," 3400"," 3800","  28.837","  29.583","   8.218","  24.685","  23.923","   6.645"," 98","0"," 82"," 98","  93.402","1117.000"," 310.278","  28.000","    0","  300"
"14:12:07:686","38688261998993","   1.634","  54.863"," 3260","  700"," 3300"," 3800","  31.147","  32.710","   9.086","  26.638","  26.597","   7.388"," 99","0"," 89","100","  95.833","1206.000"," 335.000","  28.000","    0","  300"
"14:12:07:787","38688462944063","   1.735","  53.602"," 3285"," 2300"," 3300"," 3800","  30.426","  35.772","   9.937","  26.317","  29.245","   8.124"," 99","0"," 87","100","  96.460","1293.000"," 359.167","  28.000","    0","  300"
"14:12:07:887","38688663135167","   1.835","  49.222"," 3290"," 2100"," 3300"," 3800","  30.207","  38.801","  10.778","  25.888","  31.841","   8.845","100","0"," 90","100","  96.607","1383.000"," 384.167","  28.000","    0","  300"
"14:12:07:987","38688863395591","   1.936","  47.887"," 3291"," 2600"," 3300"," 3800","  29.437","  41.753","  11.598","  25.350","  34.383","   9.551","100","0"," 88","100","  96.286","1471.000"," 408.611","  28.000","    0","  300"
"14:12:08:087","38689063719299","   2.036","  48.688"," 3290"," 2400"," 3300"," 3800","  29.472","  44.710","  12.419","  25.098","  36.901","  10.250"," 98","0"," 88","100","  95.931","1559.000"," 433.056","  28.000","    0","  300"
"14:12:08:192","38689273476633","   2.141","  50.991"," 3266","  800"," 3300"," 3800","  29.756","  47.835","  13.288","  25.351","  39.564","  10.990"," 99","0"," 89","100","  96.138","1648.000"," 457.778","  28.000","    0","  300"
"14:12:08:293","38689473984241","   2.241","  51.844"," 3274"," 2100"," 3300"," 3800","  28.871","  50.734","  14.093","  24.787","  42.053","  11.681"," 99","0"," 85","100","  96.658","1733.000"," 481.389","  28.000","    0","  300"
"14:12:08:397","38689681996807","   2.346","  47.145"," 3287","  900"," 3300"," 3800","  29.529","  53.811","  14.947","  25.238","  44.682","  12.412","100","0"," 85","100","  96.624","1818.000"," 505.000","  28.000","    0","  300"
"14:12:08:497","38689882583513","   2.446","  43.748"," 3292"," 3000"," 3300"," 3800","  27.560","  56.579","  15.716","  23.649","  47.058","  13.072"," 99","0"," 84","100","  95.724","1902.000"," 528.333","  28.000","    0","  300"
"14:12:08:598","38690083064351","   2.546","  52.489"," 3292"," 2700"," 3300"," 3800","  30.940","  59.686","  16.579","  26.838","  49.752","  13.820"," 99","0"," 91","100","  97.452","1993.000"," 553.611","  28.000","    0","  300"
"14:12:08:699","38690284049191","   2.647","  60.781"," 3193"," 2300"," 3300"," 3800","  30.333","  62.739","  17.427","  26.214","  52.391","  14.553","100","0"," 91","100","  98.294","2084.000"," 578.889","  28.000","    0","  300"
"14:12:08:799","38690484885015","   2.748","  52.036"," 3215","  800"," 3300"," 3800","  28.931","  65.649","  18.236","  24.970","  54.902","  15.251","100","0"," 89","100","  96.338","2173.000"," 603.611","  28.000","    0","  300"
"14:12:08:903","38690693076701","   2.852","  50.456"," 3243"," 2700"," 3300"," 3800","  30.020","  68.779","  19.105","  25.851","  57.598","  15.999"," 99","0"," 92","100","  97.362","2265.000"," 629.167","  28.000","    0","  300"
"14:12:09:004","38690893813353","   2.952","  47.985"," 3285"," 2200"," 3300"," 3800","  28.419","  71.635","  19.899","  23.923","  60.003","  16.667"," 98","0"," 87","100","  96.186","2352.000"," 653.333","  28.000","    0","  300"
"14:12:09:104","38691094144993","   3.053","  52.871"," 3120"," 2000"," 3300"," 3800","  27.741","  74.419","  20.672","  23.628","  62.373","  17.326","100","0"," 85","100","  94.714","2437.000"," 676.944","  28.000","    0","  300"
"14:12:09:206","38691296486275","   3.154","  41.355"," 3276"," 1200"," 3300"," 3800","  26.757","  77.130","  21.425","  22.526","  64.656","  17.960"," 98","0"," 82","100","  96.098","2519.000"," 699.722","  28.000","    0","  300"
"14:12:09:306","38691497056207","   3.255","  43.282"," 3290"," 2700"," 3300"," 3800","  26.857","  79.828","  22.174","  22.547","  66.920","  18.589"," 98","0"," 81","100","  94.227","2600.000"," 722.222","  28.000","    0","  300"
"14:12:09:406","38691697529661","   3.355","  43.000"," 3292"," 2900"," 3300"," 3800","  26.702","  82.508","  22.919","  22.607","  69.190","  19.219"," 95","0"," 83","100","  95.926","2683.000"," 745.278","  28.000","    0","  300"
"14:12:09:507","38691899085131","   3.456","  48.471"," 3293"," 3100"," 3300"," 3800","  29.524","  85.489","  23.747","  25.056","  71.719","  19.922"," 99","0"," 87","100","  95.780","2770.000"," 769.444","  28.000","    0","  300"
"14:12:09:608","38692099519629","   3.556","  53.710"," 3292"," 3000"," 3300"," 3800","  30.033","  88.503","  24.584","  25.869","  74.316","  20.643","100","0"," 88","100","  97.532","2858.000"," 793.889","  28.000","    0","  300"
"14:12:09:709","38692301419877","   3.657","  51.209"," 3275"," 2000"," 3300"," 3800","  29.816","  91.518","  25.422","  25.064","  76.850","  21.347","100","0"," 89","100","  96.878","2947.000"," 818.611","  28.000","    0","  300"
"14:12:09:814","38692510502755","   3.762","  45.260"," 3278"," 2200"," 3300"," 3800","  27.920","  94.441","  26.234","  23.623","  79.324","  22.034","100","0"," 88","100","  96.370","3035.000"," 843.056","  28.000","    0","  300"
"14:12:09:914","38692711022365","   3.862","  44.273"," 3290"," 2300"," 3300"," 3800","  27.756","  97.229","  27.008","  23.586","  81.692","  22.692"," 97","0"," 86","100","  96.213","3121.000"," 866.944","  28.000","    0","  300"
"14:12:10:014","38692911201141","   3.963","  44.622"," 3292"," 2500"," 3300"," 3800","  27.479","  99.983","  27.773","  23.212","  84.019","  23.339"," 94","0"," 86","100","  95.554","3207.000"," 890.833","  28.000","    0","  300"
"14:12:10:114","38693111460717","   4.063","  42.579"," 3262","  700"," 3300"," 3800","  26.005"," 102.591","  28.498","  21.873","  86.213","  23.948"," 96","0"," 83","100","  94.697","3290.000"," 913.889","  28.000","    0","  300"
"14:12:10:215","38693311628521","   4.163","  42.624"," 3281","  700"," 3300"," 3800","  27.309"," 105.329","  29.258","  23.201","  88.539","  24.594"," 96","0"," 83","100","  94.913","3373.000"," 936.944","  28.000","    0","  300"
"14:12:10:319","38693520533347","   4.268","  44.026"," 3282","  700"," 3300"," 3800","  27.733"," 108.230","  30.064","  23.583","  91.006","  25.279"," 99","0"," 85","100","  95.788","3458.000"," 960.556","  28.000","    0","  300"
"14:12:10:422","38693724940349","   4.370","  46.323"," 3288"," 2000"," 3300"," 3800","  28.823"," 111.181","  30.884","  24.789","  93.543","  25.984","100","0"," 87","100","  96.347","3545.000"," 984.722","  28.000","    0","  300"
