"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"14:11:55:940","38664806949445","   0.103","  19.975","  949","  700"," 1800","  990","   4.306","   0.445","   0.124","   0.859","   0.089","   0.025"," 70","0"," 64"," 70","  67.925","  64.000","  17.778","  28.000","    0","  300"
"14:11:56:055","38665037743763","   0.219","  22.166"," 2263","  700"," 3300"," 2515","   9.396","   1.531","   0.425","   6.048","   0.788","   0.219"," 77","0"," 64"," 82","  70.969"," 128.000","  35.556","  28.000","    0","  300"
"14:11:56:156","38665238892877","   0.320","  23.274"," 3178","  700"," 3300"," 3787","  14.450","   2.986","   0.830","  11.090","   1.905","   0.529"," 79","0"," 69"," 84","  77.074"," 197.000","  54.722","  28.000","    0","  300"
"14:11:56:256","38665439318485","   0.420","  24.372"," 3057","  700"," 3300"," 3782","  14.784","   4.470","   1.242","  11.392","   3.048","   0.847"," 83","0"," 69"," 87","  78.581"," 266.000","  73.889","  28.000","    0","  300"
"14:11:56:360","38665645824567","   0.523","  33.230"," 3210","  700"," 3300"," 3800","  20.394","   6.579","   1.828","  16.904","   4.797","   1.332"," 88","0"," 71"," 88","  82.472"," 337.000","  93.611","  28.000","    0","  300"
"14:11:56:463","38665852115409","   0.627","  33.965"," 3292"," 2700"," 3300"," 3797","  21.646","   8.816","   2.449","  17.991","   6.655","   1.849"," 87","0"," 75"," 92","  85.267"," 412.000"," 114.444","  28.000","    0","  300"
"14:11:56:567","38666058808479","   0.730","  36.448"," 3289"," 2500"," 3300"," 3797","  22.178","  11.111","   3.086","  18.540","   8.574","   2.382"," 92","0"," 74"," 94","  86.019"," 486.000"," 135.000","  28.000","    0","  300"
"14:11:56:667","38666259220409","   0.831","  44.629"," 3290"," 2600"," 3300"," 3800","  27.468","  13.868","   3.852","  23.253","  10.908","   3.030"," 91","0"," 83"," 95","  90.603"," 569.000"," 158.056","  28.000","    0","  300"
"14:11:56:769","38666462333029","   0.932","  28.690"," 3284"," 1400"," 3300"," 3780","  18.484","  15.748","   4.375","  14.883","  12.422","   3.451"," 84","0"," 77"," 93","  86.565"," 646.000"," 179.444","  28.000","    0","  300"
"14:11:56:871","38666667378609","   1.035","  32.428"," 3285"," 2100"," 3300"," 3800","  20.430","  17.846","   4.957","  16.705","  14.138","   3.927"," 90","0"," 77"," 93","  85.371"," 723.000"," 200.833","  28.000","    0","  300"
"14:11:56:974","38666872859605","   1.138","  31.021"," 3282"," 1100"," 3300"," 3794","  19.792","  19.883","   5.523","  16.154","  15.800","   4.389"," 90","0"," 76"," 93","  85.175"," 799.000"," 221.944","  28.000","    0","  300"
"14:11:57:076","38667076471725","   1.240","  44.712"," 3281","  700"," 3300"," 3793","  24.649","  22.396","   6.221","  20.527","  17.893","   4.970"," 94","0"," 77"," 94","  88.634"," 876.000"," 243.333","  28.000","    0","  300"
"14:11:57:179","38667282462665","   1.343","  44.060"," 3291"," 2400"," 3300"," 3800","  26.690","  25.150","   6.986","  22.464","  20.210","   5.614"," 96","0"," 78"," 97","  91.401"," 954.000"," 265.000","  28.000","    0","  300"
"14:11:57:280","38667483108503","   1.443","  48.392"," 3292"," 2500"," 3300"," 3800","  29.038","  28.068","   7.797","  24.767","  22.699","   6.305"," 96","0"," 84"," 99","  93.445","1038.000"," 288.333","  28.000","    0","  300"
"14:11:57:380","38667683871771","   1.544","  49.097"," 3292"," 2500"," 3300"," 3800","  30.494","  31.134","   8.648","  26.558","  25.369","   7.047"," 98","0"," 90","100","  95.747","1128.000"," 313.333","  28.000","    0","  300"
"14:11:57:481","38667884174829","   1.644","  52.434"," 3274","  700"," 3300"," 3800","  30.623","  34.205","   9.502","  26.574","  28.035","   7.787","100","0"," 85","100","  96.273","1213.000"," 336.944","  28.000","    0","  300"
"14:11:57:581","38668084540597","   1.745","  48.685"," 3292"," 2600"," 3300"," 3800","  29.424","  37.158","  10.322","  25.074","  30.551","   8.486","100","0"," 87","100","  95.940","1300.000"," 361.111","  28.000","    0","  300"
"14:11:57:681","38668284649939","   1.845","  48.717"," 3293"," 3100"," 3300"," 3800","  29.506","  40.115","  11.143","  25.125","  33.069","   9.186"," 99","0"," 87","100","  95.790","1387.000"," 385.278","  28.000","    0","  300"
"14:11:57:782","38668485120515","   1.945","  48.112"," 3276","  700"," 3300"," 3800","  29.306","  43.057","  11.960","  24.831","  35.562","   9.878"," 99","0"," 83","100","  95.179","1470.000"," 408.333","  28.000","    0","  300"
"14:11:57:882","38668685479211","   2.046","  48.774"," 3293"," 3000"," 3300"," 3800","  29.841","  46.051","  12.792","  25.635","  38.134","  10.593"," 99","0"," 88","100","  95.817","1558.000"," 432.778","  28.000","    0","  300"
"14:11:57:982","38668885711153","   2.146","  48.714"," 3292"," 2300"," 3300"," 3800","  28.555","  48.915","  13.587","  24.437","  40.584","  11.273"," 97","0"," 85","100","  95.817","1643.000"," 456.389","  28.000","    0","  300"
"14:11:58:083","38669087214087","   2.247","  47.449"," 3292"," 3100"," 3300"," 3800","  28.806","  51.822","  14.395","  24.302","  43.037","  11.955"," 96","0"," 83","100","  95.416","1726.000"," 479.444","  28.000","    0","  300"
"14:11:58:187","38669294617455","   2.351","  49.046"," 3291"," 2300"," 3300"," 3800","  30.149","  54.953","  15.265","  25.955","  45.733","  12.704","100","0"," 87","100","  96.321","1813.000"," 503.611","  28.000","    0","  300"
"14:11:58:291","38669501376951","   2.454","  48.957"," 3292"," 2800"," 3300"," 3800","  29.811","  58.040","  16.122","  25.804","  48.404","  13.446","100","0"," 89","100","  96.810","1902.000"," 528.333","  28.000","    0","  300"
"14:11:58:393","38669704786853","   2.556","  60.067"," 3216","  700"," 3300"," 3800","  30.977","  61.195","  16.999","  26.789","  51.133","  14.204"," 98","0"," 90","100","  97.747","1992.000"," 553.333","  28.000","    0","  300"
"14:11:58:496","38669911936269","   2.660","  50.131"," 3208"," 1100"," 3300"," 3800","  28.393","  64.141","  17.817","  24.600","  53.685","  14.913","100","0"," 87","100","  96.546","2079.000"," 577.500","  28.000","    0","  300"
"14:11:58:597","38670113041909","   2.761","  49.306"," 3275"," 1900"," 3300"," 3800","  29.855","  67.148","  18.652","  25.782","  56.282","  15.634"," 99","0"," 85","100","  96.584","2164.000"," 601.111","  28.000","    0","  300"
"14:11:58:701","38670319872427","   2.864","  47.602"," 3263"," 1700"," 3300"," 3800","  28.204","  70.069","  19.464","  23.830","  58.750","  16.320"," 98","0"," 87","100","  95.369","2251.000"," 625.278","  28.000","    0","  300"
"14:11:58:804","38670526252901","   2.967","  53.562"," 3152","  700"," 3300"," 3800","  28.184","  72.982","  20.273","  24.211","  61.253","  17.015"," 98","0"," 84","100","  94.922","2335.000"," 648.611","  28.000","    0","  300"
"14:11:58:904","38670726610049","   3.068","  42.562"," 3290"," 2800"," 3300"," 3800","  26.231","  75.614","  21.004","  22.075","  63.468","  17.630"," 96","0"," 83"," 99","  94.194","2418.000"," 671.667","  28.000","    0","  300"
"14:11:59:006","38670930681021","   3.170","  47.263"," 3292"," 2900"," 3300"," 3800","  29.735","  78.653","  21.848","  25.344","  66.058","  18.349","100","0"," 88","100","  96.230","2506.000"," 696.111","  28.000","    0","  300"
"14:11:59:109","38671135059011","   3.272","  45.560"," 3286"," 2000"," 3300"," 3800","  27.973","  81.516","  22.643","  23.570","  68.470","  19.020","100","0"," 83","100","  95.334","2589.000"," 719.167","  28.000","    0","  300"
"14:11:59:210","38671336893163","   3.373","  58.333"," 3261","  700"," 3300"," 3800","  30.563","  84.605","  23.501","  26.356","  71.134","  19.760","100","0"," 86","100","  97.120","2675.000"," 743.056","  28.000","    0","  300"
"14:11:59:310","38671537343803","   3.474","  50.361"," 3264","  700"," 3300"," 3800","  28.434","  87.460","  24.294","  23.435","  73.487","  20.413","100","0"," 89","100","  96.035","2764.000"," 767.778","  28.000","    0","  300"
"14:11:59:414","38671744549241","   3.578","  45.316"," 3290"," 1800"," 3300"," 3800","  28.112","  90.377","  25.105","  23.790","  75.956","  21.099"," 99","0"," 87","100","  95.718","2851.000"," 791.944","  28.000","    0","  300"
"14:11:59:518","38671951460039","   3.681","  45.057"," 3292"," 2900"," 3300"," 3800","  28.251","  93.304","  25.918","  23.937","  78.436","  21.788"," 97","0"," 85","100","  95.810","2936.000"," 815.556","  28.000","    0","  300"
"14:11:59:620","38672156243497","   3.784","  47.365"," 3289"," 2000"," 3300"," 3800","  29.446","  96.324","  26.757","  25.177","  81.018","  22.505","100","0"," 88","100","  96.750","3024.000"," 840.000","  28.000","    0","  300"
"14:11:59:723","38672362465277","   3.887","  40.949"," 3287"," 2000"," 3300"," 3800","  26.684","  99.080","  27.522","  22.502","  83.342","  23.151"," 97","0"," 83","100","  96.133","3107.000"," 863.056","  28.000","    0","  300"
"14:11:59:824","38672562928533","   3.987","  42.877"," 3289"," 1300"," 3300"," 3800","  26.510"," 101.741","  28.261","  22.367","  85.587","  23.774"," 97","0"," 82","100","  94.419","3189.000"," 885.833","  28.000","    0","  300"
"14:11:59:924","38672763565059","   4.088","  43.738"," 3284","  700"," 3300"," 3800","  27.804"," 104.535","  29.038","  23.785","  87.977","  24.438"," 98","0"," 83","100","  95.275","3272.000"," 908.889","  28.000","    0","  300"
"14:12:00:025","38672964000181","   4.188","  50.574"," 3292"," 2800"," 3300"," 3800","  30.616"," 107.608","  29.891","  26.429","  90.630","  25.175"," 98","0"," 86","100","  96.821","3358.000"," 932.778","  28.000","    0","  300"
"14:12:00:128","38673169522939","   4.291","  47.283"," 3288","  800"," 3300"," 3800","  28.691"," 110.561","  30.711","  24.225","  93.124","  25.868"," 98","0"," 86","100","  96.477","3444.000"," 956.667","  28.000","    0","  300"
"14:12:00:229","38673371561781","   4.392","  48.764"," 3292"," 2900"," 3300"," 3800","  29.844"," 113.581","  31.550","  25.580","  95.712","  26.587","100","0"," 86","100","  97.251","3530.000"," 980.556","  28.000","    0","  300"
"14:12:00:333","38673579237159","   4.496","  46.455"," 3292"," 2800"," 3300"," 3800","  29.004"," 116.598","  32.388","  24.811","  98.292","  27.303"," 99","0"," 87","100","  97.269","3617.000","1004.722","  28.000","    0","  300"
"14:12:00:437","38673786973021","   4.600","  45.973"," 3247","  700"," 3300"," 3800","  27.615"," 119.470","  33.186","  23.205"," 100.706","  27.974"," 99","0"," 86","100","  95.778","3703.000","1028.611","  28.000","    0","  300"
