"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"14:11:24:101","38601230108235","   0.104","   5.752"," 1009","  700"," 1900"," 1022","   2.794","   0.291","   0.081","   0.546","   0.057","   0.016"," 60","0"," 55"," 61","  58.277","  55.000","  15.278","  28.000","    0","  300"
"14:11:24:222","38601472290407","   0.225","  19.050"," 2527","  700"," 3300"," 2809","   9.066","   1.390","   0.386","   5.979","   0.782","   0.217"," 70","0"," 54"," 71","  62.501"," 109.000","  30.278","  28.000","    0","  300"
"14:11:24:325","38601678877333","   0.329","  24.595"," 3285"," 1800"," 3300"," 3800","  15.402","   2.984","   0.829","  12.248","   2.049","   0.569"," 75","0"," 60"," 76","  69.262"," 169.000","  46.944","  28.000","    0","  300"
"14:11:24:427","38601882560267","   0.431","  21.091"," 2810","  700"," 3300"," 3345","  10.968","   4.103","   1.140","   7.604","   2.825","   0.785"," 72","0"," 59"," 75","  66.935"," 228.000","  63.333","  28.000","    0","  300"
"14:11:24:530","38602086956285","   0.533","  37.254"," 3114","  700"," 3300"," 3798","  20.798","   6.232","   1.731","  17.406","   4.607","   1.280"," 78","0"," 61"," 82","  73.109"," 289.000","  80.278","  28.000","    0","  300"
"14:11:24:630","38602287334751","   0.634","  33.681"," 3292"," 2600"," 3300"," 3800","  20.573","   8.296","   2.304","  17.094","   6.322","   1.756"," 79","0"," 66"," 82","  75.921"," 355.000","  98.611","  28.000","    0","  300"
"14:11:24:734","38602495317271","   0.738","  32.311"," 3291"," 2800"," 3300"," 3800","  19.898","  10.369","   2.880","  16.485","   8.039","   2.233"," 80","0"," 67"," 83","  75.863"," 422.000"," 117.222","  28.000","    0","  300"
"14:11:24:838","38602702587751","   0.842","  33.179"," 3289"," 2200"," 3300"," 3800","  20.561","  12.503","   3.473","  17.093","   9.813","   2.726"," 83","0"," 67"," 83","  77.859"," 489.000"," 135.833","  28.000","    0","  300"
"14:11:24:940","38602905425195","   0.943","  31.599"," 3292"," 3000"," 3300"," 3800","  19.464","  14.480","   4.022","  16.072","  11.446","   3.179"," 79","0"," 68"," 83","  76.951"," 557.000"," 154.722","  28.000","    0","  300"
"14:11:25:044","38603113122711","   1.047","  31.544"," 3287"," 2400"," 3300"," 3800","  19.114","  16.468","   4.574","  15.667","  13.076","   3.632"," 79","0"," 66"," 84","  77.009"," 623.000"," 173.056","  28.000","    0","  300"
