"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"14:11:34:617","38622228280337","   0.105","   5.365"," 1130","  700"," 1800"," 1151","   2.937","   0.308","   0.086","   0.572","   0.060","   0.017"," 63","0"," 59"," 64","  61.429","  59.000","  16.389","  28.000","    0","  300"
"14:11:34:728","38622450077479","   0.216","  17.770"," 2612","  700"," 3300"," 2904","   9.151","   1.325","   0.368","   6.109","   0.739","   0.205"," 74","0"," 58"," 76","  66.072"," 117.000","  32.500","  28.000","    0","  300"
"14:11:34:831","38622656196033","   0.319","  25.521"," 3168","  700"," 3300"," 3796","  14.899","   2.863","   0.795","  11.528","   1.929","   0.536"," 79","0"," 62"," 79","  71.341"," 179.000","  49.722","  28.000","    0","  300"
"14:11:34:931","38622856740013","   0.420","  25.762"," 2955","  700"," 3300"," 3785","  14.436","   4.313","   1.198","  11.129","   3.046","   0.846"," 77","0"," 64"," 82","  73.134"," 243.000","  67.500","  28.000","    0","  300"
"14:11:35:033","38623059578783","   0.521","  33.020"," 3291"," 2500"," 3300"," 3800","  21.006","   6.447","   1.791","  17.295","   4.803","   1.334"," 84","0"," 68"," 86","  77.777"," 311.000","  86.389","  28.000","  500","  500"
"14:11:35:137","38623267375691","   0.625","  33.947"," 3285"," 2200"," 3300"," 3792","  20.808","   8.612","   2.392","  17.005","   6.573","   1.826"," 80","0"," 70"," 86","  79.615"," 381.000"," 105.833","  28.000","    0","  300"
"14:11:35:237","38623467924549","   0.726","  32.286"," 3288"," 2200"," 3300"," 3793","  20.154","  10.636","   2.954","  16.655","   8.245","   2.290"," 87","0"," 69"," 87","  79.574"," 450.000"," 125.000","  28.000","    0","  300"
"14:11:35:338","38623668162017","   0.826","  46.611"," 3292"," 2700"," 3300"," 3800","  27.803","  13.424","   3.729","  23.971","  10.649","   2.958"," 86","0"," 74"," 90","  84.425"," 524.000"," 145.556","  28.000","    0","  300"
"14:11:35:438","38623868944903","   0.927","  37.478"," 3290"," 1900"," 3300"," 3794","  22.705","  15.707","   4.363","  18.998","  12.559","   3.489"," 81","0"," 74"," 89","  84.008"," 598.000"," 166.111","  28.000","    0","  300"
"14:11:35:539","38624070513603","   1.028","  27.366"," 3291"," 2800"," 3300"," 3799","  17.327","  17.456","   4.849","  13.691","  13.941","   3.873"," 83","0"," 70"," 88","  79.663"," 668.000"," 185.556","  28.000","    0","  300"
