correlation_item,r,p
LOC,0.029,0.267
SC,-0.755,0.0
AR,-0.563,0.0
ET,-0.574,0.0
MG,,
ST,-0.123,0.0
UT,0.583,0.0
RA,-0.11,0.0
DepT,,
MNT,-0.246,0.0
CTL,-0.102,0.0
EmT,,
GF,,
IgT,,
SE,-0.111,0.0
VT,-0.121,0.0
DT,,
RO,,
DA,-0.263,0.0
EH,0.49,0.0
CI,,
RP,,
LT,-0.712,0.0
