TC,LOC,SC,E
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppendFixedWidthPadRight_int,24,0,192.636688
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppendAll_Array,14,0,186.817368
org.apache.commons.text.lookup.UrlDecoderStringLookupTest#testNull,3,2,184.237106
org.apache.commons.text.StringTokenizerTest#testCloneNull,10,10,186.659256
org.apache.commons.text.TextStringBuilderTest#testWrap_CharArray_Int_2,3,0,186.602371
org.apache.commons.text.StringSubstitutorWithInterpolatorStringLookupTest#testDefaultInterpolator,10,0,189.971161
org.apache.commons.text.TextStringBuilderTest#testReplaceAll_String_String,25,0,210.535065
org.apache.commons.text.translate.EntityArraysTest#testForDuplicateDeclaredMapValuesBasicMap,3,1,187.788971
org.apache.commons.text.StringSubstitutorTest#testReplaceFailOnUndefinedVariableWithReplaceInVariable,20,7,194.957001
org.apache.commons.text.lookup.BiFunctionStringLookupTest#testHashMapNull,3,4,181.32225
org.apache.commons.text.StrMatcherTest#testCharSetMatcher_String,12,19,180.40358
org.apache.commons.text.lookup.UrlStringLookupTest#testHttpScheme,4,3,193.55159
org.apache.commons.text.lookup.Base64DecoderStringLookupTest#testNull,3,0,186.278015
org.apache.commons.text.StrTokenizerTest#testConstructor_String_char_char,12,16,192.41272
org.apache.commons.text.FormattableUtilsTest#testAlternatePadCharacter,13,0,188.56189
org.apache.commons.text.similarity.LongestCommonSubsequenceTest#testLongestCommonSubsequence,15,14,186.763809
org.apache.commons.text.translate.JavaUnicodeEscaperTest#testAbove,6,3,190.434433
org.apache.commons.text.similarity.LongestCommonSubsequenceTest#testLongestCommonSubsequenceApply,15,14,191.894363
org.apache.commons.text.translate.EntityArraysTest#testConstructorExists,3,1,185.702072
org.apache.commons.text.lookup.PropertiesStringLookupTest#testOne,3,2,179.452484
org.apache.commons.text.similarity.LevenshteinResultsTest#testEqualsReturningFalse,7,4,188.740662
org.apache.commons.text.similarity.LongestCommonSubsequenceTest#testGettingLogestCommonSubsequenceNullNull,3,1,187.993622
org.apache.commons.text.AlphabetConverterTest#doNotEncodeTest,4,1,188.686584
org.apache.commons.text.matcher.StringMatcherOnCharSequenceStringTest#testTrimMatcher,23,0,186.389908
org.apache.commons.text.translate.NumericEntityUnescaperTest#testCreatesNumericEntityUnescaperOne,5,2,190.824203
org.apache.commons.text.lookup.JavaPlatformStringLookupTest#testMain,3,2,179.646393
org.apache.commons.text.StrBuilderAppendInsertTest#testAppendSeparator_char,9,0,185.655472
org.apache.commons.text.StringSubstitutorTest#testReplaceEmptyKeyShortest,3,1,184.59697
org.apache.commons.text.numbers.ParsedDecimalTest#testRound_one,14,0,184.886475
org.apache.commons.text.StringTokenizerTest#test8,14,11,188.872314
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppend_StringBuilder,12,0,188.106644
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppendln_FormattedString,7,0,232.361618
org.apache.commons.text.TextStringBuilderTest#testIsNotEmpty,8,0,189.515045
org.apache.commons.text.similarity.JaccardDistanceTest#testGettingJaccardDistanceNullNull,3,1,185.11911
org.apache.commons.text.translate.JavaUnicodeEscaperTest#testBelow,6,4,187.026978
org.apache.commons.text.lookup.StringLookupFactoryTest#testDefaultStringLookupsHolder_multipleLookups,5,1,182.364105
org.apache.commons.text.AlphabetConverterTest#testEquals,11,7,188.159271
org.apache.commons.text.RandomStringGeneratorTest#testBadMinAndMax,3,1,193.601791
org.apache.commons.text.translate.CsvTranslatorsTest#csvUnEscaperTest3,8,1,188.198364
org.apache.commons.text.matcher.StringMatcherOnCharSequenceStringTest#testSpaceMatcher,11,0,185.866669
org.apache.commons.text.StrTokenizerTest#testBasicEmpty2,11,11,188.849991
org.apache.commons.text.similarity.JaroWinklerSimilarityTest#testGetJaroWinklerSimilarity_NullString,3,1,184.960007
org.apache.commons.text.TextStringBuilderTest#testWrap_CharArray_Int_Empty_0,8,0,186.881577
org.apache.commons.text.StrBuilderAppendInsertTest#testAppend_Object,19,0,191.350204
org.apache.commons.text.translate.CsvTranslatorsTest#csvUnEscaperTest2,8,1,188.884445
org.apache.commons.text.StrTokenizerTest#testConstructor_charArray_char,11,13,185.818146
org.apache.commons.text.similarity.IntersectionSimilarityTest#testIntersectionUsingSetBigrams,16,13,205.838165
org.apache.commons.text.TextStringBuilderTest#testMidString,9,0,188.736435
org.apache.commons.text.StrBuilderAppendInsertTest#testAppendFixedWidthPadRight,28,0,189.056885
org.apache.commons.text.ExtendedMessageFormatTest#testEscapedQuote_LANG_477,5,0,185.920898
org.apache.commons.text.StrBuilderTest#testConstructors,34,0,187.36293
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppend_FormattedString,17,0,189.464432
org.apache.commons.text.numbers.ParsedDecimalTest#testMaxPrecision_random,2,0,188.037445
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppendWithSeparatorsWithNullText,9,0,189.303802
org.apache.commons.text.StringSubstitutorTest#testReplaceVariablesCount3,6,1,187.740646
org.apache.commons.text.StringSubstitutorTest#testReplaceAdjacentAtStart,6,3,185.694122
org.apache.commons.text.numbers.ParsedDecimalTest#testStringMethodAccuracy_sequence,18,0,194.122574
org.apache.commons.text.StrSubstitutorTest#testSamePrefixAndSuffix,8,3,186.278076
org.apache.commons.text.matcher.StringMatcherOnCharArrayTest#testCharSetMatcher_String,19,0,188.351059
org.apache.commons.text.TextStringBuilderTest#testTrim,14,0,190.191055
org.apache.commons.text.TextStringBuilderTest#testReplaceFirst_StringMatcher_String,28,0,205.555328
org.apache.commons.text.lookup.DnsStringLookupTest#testCanonicalNameFromHostAddress,4,2,184.213806
org.apache.commons.text.lookup.DateStringLookupTest#testToString,3,2,181.96701
org.apache.commons.text.AlphabetConverterTest#testCreateConverterFromCharsOne,7,4,187.496689
org.apache.commons.text.AlphabetConverterTest#testEqualsWithSameObject,8,4,183.119766
org.apache.commons.text.lookup.ScriptStringLookupTest#testBadScript,3,1,235.950912
org.apache.commons.text.StringEscapeUtilsTest#testEscapeHtml3,16,8,186.18779
org.apache.commons.text.translate.UnicodeUnescaperTest#testUuuuu,6,2,184.92775
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppendln_TextStringBuilder_int_int,7,0,241.189285
org.apache.commons.text.lookup.FunctionStringLookupTest#testConcurrentHashMapNull,3,4,185.616516
org.apache.commons.text.StrBuilderTest#testReadFromReaderAppendsToEnd,5,0,187.592438
org.apache.commons.text.CaseUtilsTest#testConstructor,8,5,185.340256
org.apache.commons.text.StrBuilderTest#testAppendToStringBuffer,6,0,182.214706
org.apache.commons.text.TextStringBuilderTest#testCharAt,11,0,185.453033
org.apache.commons.text.TextStringBuilderTest#testReplace_StringMatcher_String_int_int_int_VaryReplace,17,0,189.736115
org.apache.commons.text.TextStringBuilderTest#testSubSequenceIntInt,11,0,191.143936
org.apache.commons.text.translate.NumericEntityUnescaperTest#testSupplementaryUnescaping,7,2,186.05072
org.apache.commons.text.StringTokenizerTest#testBasic2,8,8,183.688812
org.apache.commons.text.StrSubstitutorTest#testReplaceNoPrefixSuffix,3,1,182.627396
org.apache.commons.text.TextStringBuilderTest#testReplaceFirst_char_char,13,0,190.771439
org.apache.commons.text.StringEscapeUtilsTest#testUnscapeXSI,7,4,185.244492
org.apache.commons.text.lookup.DnsStringLookupTest#testAddressFromHostName,4,2,184.491501
org.apache.commons.text.StrBuilderAppendInsertTest#testAppend_PrimitiveNumber,11,0,192.931458
org.apache.commons.text.StringTokenizerTest#testCloneReset,12,10,186.487625
org.apache.commons.text.similarity.LevenshteinDetailedDistanceTest#testToString,12,10,190.571106
org.apache.commons.text.StringSubstitutorTest#testStaticReplace,5,1,186.684784
org.apache.commons.text.StrBuilderTest#testContains_String,8,0,187.946487
org.apache.commons.text.StrTokenizerTest#testTSV,4,2,189.019424
org.apache.commons.text.StrBuilderTest#testCapacity,6,0,186.706406
org.apache.commons.text.similarity.FuzzyScoreTest#testMissingLocale,3,1,189.442734
org.apache.commons.text.StrLookupTest#testSystemPropertiesLookupReplacedProperties,15,5,183.377502
org.apache.commons.text.translate.EntityArraysTest#testForDuplicateDeclaredMapValuesISO8859Map,3,1,185.451691
org.apache.commons.text.lookup.DefaultStringLookupTest#testIndividualEnums,19,17,188.748993
org.apache.commons.text.TextStringBuilderTest#testLastIndexOf_char,8,0,183.279221
org.apache.commons.text.lookup.PropertiesStringLookupTest#testInterpolator,4,1,186.044846
org.apache.commons.text.TextStringBuilderTest#testRightString,7,0,185.864044
org.apache.commons.text.StringSubstitutorWithInterpolatorStringLookupTest#testJavaScript,5,0,235.05217
org.apache.commons.text.TextStringBuilderTest#testIndexOf_String_int,25,0,193.307587
org.apache.commons.text.ExtendedMessageFormatTest#testFailsToCreateExtendedMessageFormatTakingTwoArgumentsThrowsIllegalArgumentExceptionTwo,3,0,193.515091
org.apache.commons.text.StrBuilderTest#testReplaceAll_char_char,13,0,185.297775
org.apache.commons.text.translate.JavaUnicodeEscaperTest#testBetween,6,3,185.788651
org.apache.commons.text.similarity.CosineSimilarityTest#testCosineSimilarityWithNull,7,1,210.426056
org.apache.commons.text.TextStringBuilderTest#testIsEmpty,8,0,188.475937
org.apache.commons.text.ExtendedMessageFormatTest#testExtendedFormats,10,0,186.305252
org.apache.commons.text.StrTokenizerTest#testChaining,16,24,186.312027
org.apache.commons.text.TextStringBuilderTest#testEndsWith,15,0,190.130524
org.apache.commons.text.TextStringBuilderTest#testIndexOf_String,13,0,189.162643
org.apache.commons.text.StringTokenizerTest#testTokenizeSubclassInputChange,10,5,186.921509
org.apache.commons.text.StrMatcherTest#testTabMatcher,7,9,186.598633
org.apache.commons.text.StringTokenizerTest#testListArray,17,14,189.114349
org.apache.commons.text.similarity.FuzzyScoreTest#testGetFuzzyScore,9,8,187.054382
org.apache.commons.text.StrTokenizerTest#testCSVSimple,3,1,189.210831
org.apache.commons.text.StrBuilderTest#testGetCharsIntIntCharArrayInt,34,0,207.456619
org.apache.commons.text.numbers.ParsedDecimalTest#testRound_mixed,25,0,186.94339
org.apache.commons.text.matcher.StringMatcherOnCharArrayTest#testSingleQuoteMatcher,11,0,184.960251
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppendln_String_int_int,7,0,238.405258
org.apache.commons.text.StringSubstitutorTest#testReplaceInVariableDisabled,8,3,185.54953
org.apache.commons.text.StrSubstitutorTest#testReplaceChangedMap,5,4,184.706955
org.apache.commons.text.lookup.Base64DecoderStringLookupTest#testToString,3,0,184.702301
org.apache.commons.text.StrBuilderTest#testReplace_StrMatcher_String_int_int_int_VaryStartIndex,51,0,189.708588
org.apache.commons.text.lookup.ConstantStringLookupTest#testLookupCache,4,1,181.340225
org.apache.commons.text.StrSubstitutorTest#testGetSetEscape,6,5,182.340164
org.apache.commons.text.TextStringBuilderTest#testContains_StringMatcher,12,0,194.172348
org.apache.commons.text.lookup.FunctionStringLookupTest#testNullFunction,3,4,180.716888
org.apache.commons.text.lookup.StringLookupFactoryTest#testDefaultStringLookupsHolder_lookupsPropertyEmptyAndBlank,8,1,182.444244
org.apache.commons.text.WordUtilsTest#testCapitalizeFully_String,12,11,187.880325
org.apache.commons.text.WordUtilsTest#testInitials_String,12,11,187.465881
