correlation_item,r,p
LOC,-0.17,0.0
SC,-0.627,0.0
AR,-0.522,0.0
ET,-0.482,0.0
MG,,
ST,,
UT,0.265,0.0
RA,0.054,0.09
DepT,,
MNT,-0.305,0.0
CTL,-0.015,0.628
EmT,,
GF,,
IgT,-0.15,0.0
SE,-0.07,0.027
VT,-0.099,0.002
DT,,
RO,,
DA,-0.139,0.0
EH,0.104,0.001
CI,,
RP,,
LT,-0.482,0.0
