TC,LOC,SC,E
org.apache.commons.mail.EmailTest#testDefaultCharsetCanBeOverriddenByContentType,13,11,172.532623
org.apache.commons.mail.EmailTest#testAddBccWithEncoding,13,8,162.172119
org.apache.commons.mail.HtmlEmailTest#testGetSetMsg,16,8,203.033524
org.apache.commons.mail.ImageHtmlEmailTest#testSendClassPathFileWithNullName,23,9,224.859116
org.apache.commons.mail.EmailLiveTest#testHtmlMailMimeLayout,44,0,166.793686
org.apache.commons.mail.EmailTest#testGetSetSmtpPort,6,5,162.38681
org.apache.commons.mail.EmailTest#testSetNullAndEmptyBounceAddress,4,5,336.418884
org.apache.commons.mail.SendWithAttachmentsTest#testSendNoAttachments,21,0,168.13356
org.apache.commons.mail.MultiPartEmailTest#testSend,38,7,206.219772
org.apache.commons.mail.ImageHtmlEmailTest#testRegex,51,64,206.865631
org.apache.commons.mail.MultiPartEmailTest#testSetMsg,20,11,197.886185
org.apache.commons.mail.ImageHtmlEmailTest#testSendHTMLAutoResolveFile,26,9,223.677429
org.apache.commons.mail.EmailTest#testSetContentObject,22,12,162.135071
org.apache.commons.mail.EmailTest#testGetSetSentDate,8,4,161.677307
org.apache.commons.mail.EmailLiveTest#testMultiPartEmail,7,0,169.730728
org.apache.commons.mail.MultiPartEmailTest#testGetSetSubType,6,4,193.794098
org.apache.commons.mail.EmailTest#testAddReplyTo,11,8,165.027176
org.apache.commons.mail.EmailTest#testSendBadHostName,20,12,169.738678
org.apache.commons.mail.ImageHtmlEmailTest#testSendHTMLClassPathFile,23,9,238.435104
org.apache.commons.mail.ImageHtmlEmailTest#testSendEmptyHTML2,11,3,207.073959
org.apache.commons.mail.MultiPartEmailTest#testInit,10,3,197.739624
org.apache.commons.mail.EmailTest#testAddTo2,12,8,162.162262
org.apache.commons.mail.EmailUtilsTest#testClearEndOfLineCharacters,10,8,161.424271
org.apache.commons.mail.EmailTest#testAddToWithEncoding,13,8,164.148209
org.apache.commons.mail.ImageHtmlEmailTest#testSendHtml,22,8,225.912857
org.apache.commons.mail.EmailTest#testSetCc,8,4,162.024231
org.apache.commons.mail.EmailLiveTest#testImageHtmlEmailRemote,11,0,158.577393
org.apache.commons.mail.EmailTest#testGetSetAuthentication,8,3,162.695572
org.apache.commons.mail.EmailTest#testAddReplyToWithEncoding,13,8,163.737885
org.apache.commons.mail.util.IDNEmailAddressConverterTest#testMultipleIDNEmailAddressToAsciiConversion,3,2,158.851761
org.apache.commons.mail.resolver.DataSourceUrlResolverTest#testResolvingHttpLenientHost,4,4,158.232254
org.apache.commons.mail.EmailTest#testGetSetHostName,6,4,178.50444
org.apache.commons.mail.HtmlEmailTest#testSendWithPlainTextButNoHtmlContent,16,2,238.838608
org.apache.commons.mail.EmailTest#testSetContentNull,4,2,162.233795
